item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
1a,English,Fernandez,ambi,sg,1,0,the relative,of the teacher,relative,teacher,Andrew had dinner yesterday with the relative of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teacher that,$SG,Andrew had dinner yesterday with the relative of the teacher that,0.19876958598861982
1a,English,Fernandez,low,sg,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$SG,Andrew had dinner yesterday with the relatives of the teacher that,0.3216518032515343
1a,English,Fernandez,high,sg,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$SG,Andrew had dinner yesterday with the relative of the teachers that,0.07218113414989791
1a,English,Fernandez,ambi,pl,1,0,the relatives,of the teachers,relatives,teachers,Andrew had dinner yesterday with the relatives of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teachers that,$PL,Andrew had dinner yesterday with the relatives of the teachers that,0.44285827963213076
1a,English,Fernandez,low,pl,1,0,the relative,of the teachers,relative,teachers,Andrew had dinner yesterday with the relative of the teachers that MASKTOKEN divorced.,Andrew had dinner yesterday with the relative of the teachers that,$PL,Andrew had dinner yesterday with the relative of the teachers that,0.2225999615263783
1a,English,Fernandez,high,pl,1,0,the relatives,of the teacher,relatives,teacher,Andrew had dinner yesterday with the relatives of the teacher that MASKTOKEN divorced.,Andrew had dinner yesterday with the relatives of the teacher that,$PL,Andrew had dinner yesterday with the relatives of the teacher that,0.008759108352051959
2a,English,Fernandez,ambi,sg,0,1,the coach,of the athlete,coach,athlete,The journalist interviewed the coach of the athlete that MASKTOKEN sick.,The journalist interviewed the coach of the athlete that,$SG,The journalist interviewed the coach of the athlete that,0.18210570655327807
2a,English,Fernandez,low,sg,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$SG,The journalist interviewed the coaches of the athlete that,0.17670581186076717
2a,English,Fernandez,high,sg,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$SG,The journalist interviewed the coach of the athletes that,0.025890038942115723
2a,English,Fernandez,ambi,pl,0,1,the coaches,of the athletes,coaches,athletes,The journalist interviewed the coaches of the athletes that MASKTOKEN sick.,The journalist interviewed the coaches of the athletes that,$PL,The journalist interviewed the coaches of the athletes that,0.24308303374625417
2a,English,Fernandez,low,pl,0,1,the coach,of the athletes,coach,athletes,The journalist interviewed the coach of the athletes that MASKTOKEN sick.,The journalist interviewed the coach of the athletes that,$PL,The journalist interviewed the coach of the athletes that,0.22366363974272474
2a,English,Fernandez,high,pl,0,1,the coaches,of the athlete,coaches,athlete,The journalist interviewed the coaches of the athlete that MASKTOKEN sick.,The journalist interviewed the coaches of the athlete that,$PL,The journalist interviewed the coaches of the athlete that,0.039347060129831135
3a,English,Fernandez,ambi,sg,0,1,the secretary,of the clerk,secretary,clerk,The personnel manager was observing the secretary of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerk that,$SG,The personnel manager was observing the secretary of the clerk that,0.06626883644491244
3a,English,Fernandez,low,sg,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$SG,The personnel manager was observing the secretaries of the clerk that,0.0502409824270007
3a,English,Fernandez,high,sg,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$SG,The personnel manager was observing the secretary of the clerks that,0.03621098433546166
3a,English,Fernandez,ambi,pl,0,1,the secretaries,of the clerks,secretaries,clerks,The personnel manager was observing the secretaries of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerks that,$PL,The personnel manager was observing the secretaries of the clerks that,0.32286312159224195
3a,English,Fernandez,low,pl,0,1,the secretary,of the clerks,secretary,clerks,The personnel manager was observing the secretary of the clerks that MASKTOKEN studying.,The personnel manager was observing the secretary of the clerks that,$PL,The personnel manager was observing the secretary of the clerks that,0.13277568252738625
3a,English,Fernandez,high,pl,0,1,the secretaries,of the clerk,secretaries,clerk,The personnel manager was observing the secretaries of the clerk that MASKTOKEN studying.,The personnel manager was observing the secretaries of the clerk that,$PL,The personnel manager was observing the secretaries of the clerk that,0.1566809633328905
4a,English,Fernandez,ambi,sg,0,0,the secretary,of the lawyer,secretary,lawyer,Julia had spoken to the secretary of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyer that,$SG,Julia had spoken to the secretary of the lawyer that,0.12077347703884911
4a,English,Fernandez,low,sg,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$SG,Julia had spoken to the secretaries of the lawyer that,0.09792082634074273
4a,English,Fernandez,high,sg,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$SG,Julia had spoken to the secretary of the lawyers that,0.03075023111566466
4a,English,Fernandez,ambi,pl,0,0,the secretaries,of the lawyers,secretaries,lawyers,Julia had spoken to the secretaries of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyers that,$PL,Julia had spoken to the secretaries of the lawyers that,0.13622647250316788
4a,English,Fernandez,low,pl,0,0,the secretary,of the lawyers,secretary,lawyers,Julia had spoken to the secretary of the lawyers that MASKTOKEN on vacation.,Julia had spoken to the secretary of the lawyers that,$PL,Julia had spoken to the secretary of the lawyers that,0.07886056461624591
4a,English,Fernandez,high,pl,0,0,the secretaries,of the lawyer,secretaries,lawyer,Julia had spoken to the secretaries of the lawyer that MASKTOKEN on vacation.,Julia had spoken to the secretaries of the lawyer that,$PL,Julia had spoken to the secretaries of the lawyer that,0.02597929218478079
5a,English,Fernandez,ambi,sg,1,0,the assistant,of the detective,assistant,detective,My friend met the assistant of the detective that MASKTOKEN fired.,My friend met the assistant of the detective that,$SG,My friend met the assistant of the detective that,0.2196010287030914
5a,English,Fernandez,low,sg,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$SG,My friend met the assistants of the detective that,0.19383635981331615
5a,English,Fernandez,high,sg,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$SG,My friend met the assistant of the detectives that,0.07933190765388476
5a,English,Fernandez,ambi,pl,1,0,the assistants,of the detectives,assistants,detectives,My friend met the assistants of the detectives that MASKTOKEN fired.,My friend met the assistants of the detectives that,$PL,My friend met the assistants of the detectives that,0.2815244350554451
5a,English,Fernandez,low,pl,1,0,the assistant,of the detectives,assistant,detectives,My friend met the assistant of the detectives that MASKTOKEN fired.,My friend met the assistant of the detectives that,$PL,My friend met the assistant of the detectives that,0.17776483495087536
5a,English,Fernandez,high,pl,1,0,the assistants,of the detective,assistants,detective,My friend met the assistants of the detective that MASKTOKEN fired.,My friend met the assistants of the detective that,$PL,My friend met the assistants of the detective that,0.02912291569065628
6a,English,Fernandez,ambi,sg,1,0,the employee,of the ambassador,employee,ambassador,Charlie met the employee of the ambassador that MASKTOKEN eating.,Charlie met the employee of the ambassador that,$SG,Charlie met the employee of the ambassador that,0.19758313727438015
6a,English,Fernandez,low,sg,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$SG,Charlie met the employees of the ambassador that,0.06381763955620556
6a,English,Fernandez,high,sg,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$SG,Charlie met the employee of the ambassadors that,0.1562790223447763
6a,English,Fernandez,ambi,pl,1,0,the employees,of the ambassadors,employees,ambassadors,Charlie met the employees of the ambassadors that MASKTOKEN eating.,Charlie met the employees of the ambassadors that,$PL,Charlie met the employees of the ambassadors that,0.2541868475659257
6a,English,Fernandez,low,pl,1,0,the employee,of the ambassadors,employee,ambassadors,Charlie met the employee of the ambassadors that MASKTOKEN eating.,Charlie met the employee of the ambassadors that,$PL,Charlie met the employee of the ambassadors that,0.11304907010565302
6a,English,Fernandez,high,pl,1,0,the employees,of the ambassador,employees,ambassador,Charlie met the employees of the ambassador that MASKTOKEN eating.,Charlie met the employees of the ambassador that,$PL,Charlie met the employees of the ambassador that,0.10617478725332319
7a,English,Fernandez,ambi,sg,0,0,the review,of the poem,review,poem,Roxanne read the review of the poem that MASKTOKEN unfinished.,Roxanne read the review of the poem that,$SG,Roxanne read the review of the poem that,0.12013383440640757
7a,English,Fernandez,low,sg,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$SG,Roxanne read the reviews of the poem that,0.05386616185381943
7a,English,Fernandez,high,sg,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$SG,Roxanne read the review of the poems that,0.05679953929202464
7a,English,Fernandez,ambi,pl,0,0,the reviews,of the poems,reviews,poems,Roxanne read the reviews of the poems that MASKTOKEN unfinished.,Roxanne read the reviews of the poems that,$PL,Roxanne read the reviews of the poems that,0.2292754485570967
7a,English,Fernandez,low,pl,0,0,the review,of the poems,review,poems,Roxanne read the review of the poems that MASKTOKEN unfinished.,Roxanne read the review of the poems that,$PL,Roxanne read the review of the poems that,0.09956694361815366
7a,English,Fernandez,high,pl,0,0,the reviews,of the poem,reviews,poem,Roxanne read the reviews of the poem that MASKTOKEN unfinished.,Roxanne read the reviews of the poem that,$PL,Roxanne read the reviews of the poem that,0.10567907050352154
8a,English,Fernandez,ambi,sg,0,0,the pipe,of the sink,pipe,sink,The plumber adjusted the pipe of the sink that MASKTOKEN cracked.,The plumber adjusted the pipe of the sink that,$SG,The plumber adjusted the pipe of the sink that,0.3295008842631417
8a,English,Fernandez,low,sg,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$SG,The plumber adjusted the pipes of the sink that,0.2853605250060207
8a,English,Fernandez,high,sg,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$SG,The plumber adjusted the pipe of the sinks that,0.12765986454754463
8a,English,Fernandez,ambi,pl,0,0,the pipes,of the sinks,pipes,sinks,The plumber adjusted the pipes of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipes of the sinks that,$PL,The plumber adjusted the pipes of the sinks that,0.2944214573874486
8a,English,Fernandez,low,pl,0,0,the pipe,of the sinks,pipe,sinks,The plumber adjusted the pipe of the sinks that MASKTOKEN cracked.,The plumber adjusted the pipe of the sinks that,$PL,The plumber adjusted the pipe of the sinks that,0.28168198794973875
8a,English,Fernandez,high,pl,0,0,the pipes,of the sink,pipes,sink,The plumber adjusted the pipes of the sink that MASKTOKEN cracked.,The plumber adjusted the pipes of the sink that,$PL,The plumber adjusted the pipes of the sink that,0.037911302337382935
9a,English,Fernandez,ambi,sg,0,1,the wire,of the speaker,wire,speaker,Mary replaced the wire of the speaker that MASKTOKEN damaged.,Mary replaced the wire of the speaker that,$SG,Mary replaced the wire of the speaker that,0.4162251485057882
9a,English,Fernandez,low,sg,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$SG,Mary replaced the wires of the speaker that,0.25842150320776813
9a,English,Fernandez,high,sg,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$SG,Mary replaced the wire of the speakers that,0.1531372326024676
9a,English,Fernandez,ambi,pl,0,1,the wires,of the speakers,wires,speakers,Mary replaced the wires of the speakers that MASKTOKEN damaged.,Mary replaced the wires of the speakers that,$PL,Mary replaced the wires of the speakers that,0.3598146185059612
9a,English,Fernandez,low,pl,0,1,the wire,of the speakers,wire,speakers,Mary replaced the wire of the speakers that MASKTOKEN damaged.,Mary replaced the wire of the speakers that,$PL,Mary replaced the wire of the speakers that,0.2665544523022012
9a,English,Fernandez,high,pl,0,1,the wires,of the speaker,wires,speaker,Mary replaced the wires of the speaker that MASKTOKEN damaged.,Mary replaced the wires of the speaker that,$PL,Mary replaced the wires of the speaker that,0.12306844017354202
10a,English,Fernandez,ambi,sg,0,0,the recording,of the song,recording,song,My brother liked listening to the recording of the song that MASKTOKEN banned.,My brother liked listening to the recording of the song that,$SG,My brother liked listening to the recording of the song that,0.16942826556779078
10a,English,Fernandez,low,sg,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$SG,My brother liked listening to the recordings of the song that,0.15000790307418077
10a,English,Fernandez,high,sg,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$SG,My brother liked listening to the recording of the songs that,0.011515593737099206
10a,English,Fernandez,ambi,pl,0,0,the recordings,of the songs,recordings,songs,My brother liked listening to the recordings of the songs that MASKTOKEN banned.,My brother liked listening to the recordings of the songs that,$PL,My brother liked listening to the recordings of the songs that,0.18148556750222333
10a,English,Fernandez,low,pl,0,0,the recording,of the songs,recording,songs,My brother liked listening to the recording of the songs that MASKTOKEN banned.,My brother liked listening to the recording of the songs that,$PL,My brother liked listening to the recording of the songs that,0.17747186799439696
10a,English,Fernandez,high,pl,0,0,the recordings,of the song,recordings,song,My brother liked listening to the recordings of the song that MASKTOKEN banned.,My brother liked listening to the recordings of the song that,$PL,My brother liked listening to the recordings of the song that,0.02271691762824446
11a,English,Fernandez,ambi,sg,1,1,the cover,of the pot,cover,pot,The chef couldn’t find the cover of the pot that MASKTOKEN clean.,The chef couldn’t find the cover of the pot that,$SG,The chef couldn’t find the cover of the pot that,0.19423293781583073
11a,English,Fernandez,low,sg,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$SG,The chef couldn’t find the covers of the pot that,0.12255543357161014
11a,English,Fernandez,high,sg,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$SG,The chef couldn’t find the cover of the pots that,0.06376316867612686
11a,English,Fernandez,ambi,pl,1,1,the covers,of the pots,covers,pots,The chef couldn’t find the covers of the pots that MASKTOKEN clean.,The chef couldn’t find the covers of the pots that,$PL,The chef couldn’t find the covers of the pots that,0.2511539630189201
11a,English,Fernandez,low,pl,1,1,the cover,of the pots,cover,pots,The chef couldn’t find the cover of the pots that MASKTOKEN clean.,The chef couldn’t find the cover of the pots that,$PL,The chef couldn’t find the cover of the pots that,0.1764111948567093
11a,English,Fernandez,high,pl,1,1,the covers,of the pot,covers,pot,The chef couldn’t find the covers of the pot that MASKTOKEN clean.,The chef couldn’t find the covers of the pot that,$PL,The chef couldn’t find the covers of the pot that,0.1027909639058806
12a,English,Fernandez,ambi,sg,0,1,the key,of the car,key,car,The thief took the key of the car that MASKTOKEN outside.,The thief took the key of the car that,$SG,The thief took the key of the car that,0.23834904572164306
12a,English,Fernandez,low,sg,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$SG,The thief took the keys of the car that,0.20737460827512244
12a,English,Fernandez,high,sg,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$SG,The thief took the key of the cars that,0.06403990046309982
12a,English,Fernandez,ambi,pl,0,1,the keys,of the cars,keys,cars,The thief took the keys of the cars that MASKTOKEN outside.,The thief took the keys of the cars that,$PL,The thief took the keys of the cars that,0.312376151456931
12a,English,Fernandez,low,pl,0,1,the key,of the cars,key,cars,The thief took the key of the cars that MASKTOKEN outside.,The thief took the key of the cars that,$PL,The thief took the key of the cars that,0.3184878330407468
12a,English,Fernandez,high,pl,0,1,the keys,of the car,keys,car,The thief took the keys of the car that MASKTOKEN outside.,The thief took the keys of the car that,$PL,The thief took the keys of the car that,0.011373231841140807
13a,English,Fernandez,ambi,sg,0,0,the daughter,of the hostage,daughter,hostage,The journalist was unable to interview the daughter of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostage that,$SG,The journalist was unable to interview the daughter of the hostage that,0.22424227831147747
13a,English,Fernandez,low,sg,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$SG,The journalist was unable to interview the daughters of the hostage that,0.1422056643931715
13a,English,Fernandez,high,sg,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$SG,The journalist was unable to interview the daughter of the hostages that,0.04471257419275887
13a,English,Fernandez,ambi,pl,0,0,the daughters,of the hostages,daughters,hostages,The journalist was unable to interview the daughters of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostages that,$PL,The journalist was unable to interview the daughters of the hostages that,0.3250689286085344
13a,English,Fernandez,low,pl,0,0,the daughter,of the hostages,daughter,hostages,The journalist was unable to interview the daughter of the hostages that MASKTOKEN waiting.,The journalist was unable to interview the daughter of the hostages that,$PL,The journalist was unable to interview the daughter of the hostages that,0.3052133833778421
13a,English,Fernandez,high,pl,0,0,the daughters,of the hostage,daughters,hostage,The journalist was unable to interview the daughters of the hostage that MASKTOKEN waiting.,The journalist was unable to interview the daughters of the hostage that,$PL,The journalist was unable to interview the daughters of the hostage that,0.049053593141278995
14a,English,Fernandez,ambi,sg,0,0,the teacher,of the student,teacher,student,Patricia saw the teacher of the student that MASKTOKEN in class.,Patricia saw the teacher of the student that,$SG,Patricia saw the teacher of the student that,0.19833444339536666
14a,English,Fernandez,low,sg,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$SG,Patricia saw the teachers of the student that,0.18816618318734513
14a,English,Fernandez,high,sg,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$SG,Patricia saw the teacher of the students that,0.08624996194653445
14a,English,Fernandez,ambi,pl,0,0,the teachers,of the students,teachers,students,Patricia saw the teachers of the students that MASKTOKEN in class.,Patricia saw the teachers of the students that,$PL,Patricia saw the teachers of the students that,0.30953614098090654
14a,English,Fernandez,low,pl,0,0,the teacher,of the students,teacher,students,Patricia saw the teacher of the students that MASKTOKEN in class.,Patricia saw the teacher of the students that,$PL,Patricia saw the teacher of the students that,0.20059728359597173
14a,English,Fernandez,high,pl,0,0,the teachers,of the student,teachers,student,Patricia saw the teachers of the student that MASKTOKEN in class.,Patricia saw the teachers of the student that,$PL,Patricia saw the teachers of the student that,0.026969382743512682
15a,English,Fernandez,ambi,sg,0,0,the manager,of the assistant,manager,assistant,Linda wrote to the manager of the assistant that MASKTOKEN late.,Linda wrote to the manager of the assistant that,$SG,Linda wrote to the manager of the assistant that,0.038090666309624766
15a,English,Fernandez,low,sg,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$SG,Linda wrote to the managers of the assistant that,0.035189293561115775
15a,English,Fernandez,high,sg,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$SG,Linda wrote to the manager of the assistants that,0.011269405019939782
15a,English,Fernandez,ambi,pl,0,0,the managers,of the assistants,managers,assistants,Linda wrote to the managers of the assistants that MASKTOKEN late.,Linda wrote to the managers of the assistants that,$PL,Linda wrote to the managers of the assistants that,0.04318914509754279
15a,English,Fernandez,low,pl,0,0,the manager,of the assistants,manager,assistants,Linda wrote to the manager of the assistants that MASKTOKEN late.,Linda wrote to the manager of the assistants that,$PL,Linda wrote to the manager of the assistants that,0.015196844558126088
15a,English,Fernandez,high,pl,0,0,the managers,of the assistant,managers,assistant,Linda wrote to the managers of the assistant that MASKTOKEN late.,Linda wrote to the managers of the assistant that,$PL,Linda wrote to the managers of the assistant that,0.018219132886367007
16a,English,Fernandez,ambi,sg,0,0,the guide,of the tourist,guide,tourist,The hotel director didn’t want to see the guide of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourist that,$SG,The hotel director didn’t want to see the guide of the tourist that,0.23927372295991134
16a,English,Fernandez,low,sg,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$SG,The hotel director didn’t want to see the guides of the tourist that,0.11047855980642218
16a,English,Fernandez,high,sg,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$SG,The hotel director didn’t want to see the guide of the tourists that,0.1229812200800331
16a,English,Fernandez,ambi,pl,0,0,the guides,of the tourists,guides,tourists,The hotel director didn’t want to see the guides of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourists that,$PL,The hotel director didn’t want to see the guides of the tourists that,0.45046332810589274
16a,English,Fernandez,low,pl,0,0,the guide,of the tourists,guide,tourists,The hotel director didn’t want to see the guide of the tourists that MASKTOKEN angry.,The hotel director didn’t want to see the guide of the tourists that,$PL,The hotel director didn’t want to see the guide of the tourists that,0.3215606697386679
