item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
16a,English,Fernandez,high,pl,0,0,the guides,of the tourist,guides,tourist,The hotel director didn’t want to see the guides of the tourist that MASKTOKEN angry.,The hotel director didn’t want to see the guides of the tourist that,$PL,The hotel director didn’t want to see the guides of the tourist that,0.2805241580573563
17a,English,Fernandez,ambi,sg,0,0,the client,of the lawyer,client,lawyer,The receptionist greeted the client of the lawyer that MASKTOKEN chatting.,The receptionist greeted the client of the lawyer that,$SG,The receptionist greeted the client of the lawyer that,0.13486502056825067
17a,English,Fernandez,low,sg,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$SG,The receptionist greeted the clients of the lawyer that,0.10746300821727939
17a,English,Fernandez,high,sg,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$SG,The receptionist greeted the client of the lawyers that,0.03507416293550136
17a,English,Fernandez,ambi,pl,0,0,the clients,of the lawyers,clients,lawyers,The receptionist greeted the clients of the lawyers that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyers that,$PL,The receptionist greeted the clients of the lawyers that,0.16428688304857353
17a,English,Fernandez,low,pl,0,0,the client,of the lawyers,client,lawyers,The receptionist greeted the client of the lawyers that MASKTOKEN chatting.,The receptionist greeted the client of the lawyers that,$PL,The receptionist greeted the client of the lawyers that,0.11176280710060205
17a,English,Fernandez,high,pl,0,0,the clients,of the lawyer,clients,lawyer,The receptionist greeted the clients of the lawyer that MASKTOKEN chatting.,The receptionist greeted the clients of the lawyer that,$PL,The receptionist greeted the clients of the lawyer that,0.02103953738621378
18a,English,Fernandez,ambi,sg,1,0,the guard,of the ambassador,guard,ambassador,Nobody noticed the guard of the ambassador that MASKTOKEN hiding.,Nobody noticed the guard of the ambassador that,$SG,Nobody noticed the guard of the ambassador that,0.29275633537156764
18a,English,Fernandez,low,sg,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$SG,Nobody noticed the guards of the ambassador that,0.06544149150500456
18a,English,Fernandez,high,sg,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$SG,Nobody noticed the guard of the ambassadors that,0.2059292019694574
18a,English,Fernandez,ambi,pl,1,0,the guards,of the ambassadors,guards,ambassadors,Nobody noticed the guards of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guards of the ambassadors that,$PL,Nobody noticed the guards of the ambassadors that,0.2947509700154658
18a,English,Fernandez,low,pl,1,0,the guard,of the ambassadors,guard,ambassadors,Nobody noticed the guard of the ambassadors that MASKTOKEN hiding.,Nobody noticed the guard of the ambassadors that,$PL,Nobody noticed the guard of the ambassadors that,0.1187706402094264
18a,English,Fernandez,high,pl,1,0,the guards,of the ambassador,guards,ambassador,Nobody noticed the guards of the ambassador that MASKTOKEN hiding.,Nobody noticed the guards of the ambassador that,$PL,Nobody noticed the guards of the ambassador that,0.25876979977361003
19a,English,Fernandez,ambi,sg,0,0,the son,of the delegate,son,delegate,Ivana met the son of the delegate that MASKTOKEN smoking.,Ivana met the son of the delegate that,$SG,Ivana met the son of the delegate that,0.1379336551718353
19a,English,Fernandez,low,sg,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$SG,Ivana met the sons of the delegate that,0.13831986906274807
19a,English,Fernandez,high,sg,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$SG,Ivana met the son of the delegates that,0.045060425008765836
19a,English,Fernandez,ambi,pl,0,0,the sons,of the delegates,sons,delegates,Ivana met the sons of the delegates that MASKTOKEN smoking.,Ivana met the sons of the delegates that,$PL,Ivana met the sons of the delegates that,0.199787093879074
19a,English,Fernandez,low,pl,0,0,the son,of the delegates,son,delegates,Ivana met the son of the delegates that MASKTOKEN smoking.,Ivana met the son of the delegates that,$PL,Ivana met the son of the delegates that,0.12352604334694828
19a,English,Fernandez,high,pl,0,0,the sons,of the delegate,sons,delegate,Ivana met the sons of the delegate that MASKTOKEN smoking.,Ivana met the sons of the delegate that,$PL,Ivana met the sons of the delegate that,0.03281660643217599
20a,English,Fernandez,ambi,sg,1,0,the replacement,of the pen,replacement,pen,Lisa couldn’t find the replacement of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pen that,$SG,Lisa couldn’t find the replacement of the pen that,0.20399450471355607
20a,English,Fernandez,low,sg,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$SG,Lisa couldn’t find the replacements of the pen that,0.18134732086469807
20a,English,Fernandez,high,sg,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$SG,Lisa couldn’t find the replacement of the pens that,0.04690996955918525
20a,English,Fernandez,ambi,pl,1,0,the replacements,of the pens,replacements,pens,Lisa couldn’t find the replacements of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pens that,$PL,Lisa couldn’t find the replacements of the pens that,0.26699364054188557
20a,English,Fernandez,low,pl,1,0,the replacement,of the pens,replacement,pens,Lisa couldn’t find the replacement of the pens that MASKTOKEN on sale.,Lisa couldn’t find the replacement of the pens that,$PL,Lisa couldn’t find the replacement of the pens that,0.23791269051109865
20a,English,Fernandez,high,pl,1,0,the replacements,of the pen,replacements,pen,Lisa couldn’t find the replacements of the pen that MASKTOKEN on sale.,Lisa couldn’t find the replacements of the pen that,$PL,Lisa couldn’t find the replacements of the pen that,0.03364336433938897
21a,English,Fernandez,ambi,sg,0,0,the revision,of the manuscript,revision,manuscript,The student read the revision of the manuscript that MASKTOKEN on the test.,The student read the revision of the manuscript that,$SG,The student read the revision of the manuscript that,0.25784076295042335
21a,English,Fernandez,low,sg,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$SG,The student read the revisions of the manuscript that,0.036443046590443506
21a,English,Fernandez,high,sg,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$SG,The student read the revision of the manuscripts that,0.11280643596475182
21a,English,Fernandez,ambi,pl,0,0,the revisions,of the manuscripts,revisions,manuscripts,The student read the revisions of the manuscripts that MASKTOKEN on the test.,The student read the revisions of the manuscripts that,$PL,The student read the revisions of the manuscripts that,0.2768862300195103
21a,English,Fernandez,low,pl,0,0,the revision,of the manuscripts,revision,manuscripts,The student read the revision of the manuscripts that MASKTOKEN on the test.,The student read the revision of the manuscripts that,$PL,The student read the revision of the manuscripts that,0.15297550863862774
21a,English,Fernandez,high,pl,0,0,the revisions,of the manuscript,revisions,manuscript,The student read the revisions of the manuscript that MASKTOKEN on the test.,The student read the revisions of the manuscript that,$PL,The student read the revisions of the manuscript that,0.24075322609310312
22a,English,Fernandez,ambi,sg,0,0,the panel,of the box,panel,box,The archaeologists finally found the panel of the box that MASKTOKEN broken.,The archaeologists finally found the panel of the box that,$SG,The archaeologists finally found the panel of the box that,0.16411756399709487
22a,English,Fernandez,low,sg,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$SG,The archaeologists finally found the panels of the box that,0.099740727575645
22a,English,Fernandez,high,sg,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$SG,The archaeologists finally found the panel of the boxes that,0.11438584177239908
22a,English,Fernandez,ambi,pl,0,0,the panels,of the boxes,panels,boxes,The archaeologists finally found the panels of the boxes that MASKTOKEN broken.,The archaeologists finally found the panels of the boxes that,$PL,The archaeologists finally found the panels of the boxes that,0.18630436466838063
22a,English,Fernandez,low,pl,0,0,the panel,of the boxes,panel,boxes,The archaeologists finally found the panel of the boxes that MASKTOKEN broken.,The archaeologists finally found the panel of the boxes that,$PL,The archaeologists finally found the panel of the boxes that,0.07007629368694701
22a,English,Fernandez,high,pl,0,0,the panels,of the box,panels,box,The archaeologists finally found the panels of the box that MASKTOKEN broken.,The archaeologists finally found the panels of the box that,$PL,The archaeologists finally found the panels of the box that,0.030116991790550163
23a,English,Fernandez,ambi,sg,0,0,the printer,of the computer,printer,computer,Harry had inspected the printer of the computer that MASKTOKEN stolen.,Harry had inspected the printer of the computer that,$SG,Harry had inspected the printer of the computer that,0.16543483368475087
23a,English,Fernandez,low,sg,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$SG,Harry had inspected the printers of the computer that,0.14176599433035442
23a,English,Fernandez,high,sg,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$SG,Harry had inspected the printer of the computers that,0.03533978634373014
23a,English,Fernandez,ambi,pl,0,0,the printers,of the computers,printers,computers,Harry had inspected the printers of the computers that MASKTOKEN stolen.,Harry had inspected the printers of the computers that,$PL,Harry had inspected the printers of the computers that,0.22848008741287806
23a,English,Fernandez,low,pl,0,0,the printer,of the computers,printer,computers,Harry had inspected the printer of the computers that MASKTOKEN stolen.,Harry had inspected the printer of the computers that,$PL,Harry had inspected the printer of the computers that,0.20509710592702213
23a,English,Fernandez,high,pl,0,0,the printers,of the computer,printers,computer,Harry had inspected the printers of the computer that MASKTOKEN stolen.,Harry had inspected the printers of the computer that,$PL,Harry had inspected the printers of the computer that,0.019822223549750717
24a,English,Fernandez,ambi,sg,0,0,the hall,of the apartment,hall,apartment,Susan admired the hall of the apartment that MASKTOKEN painted.,Susan admired the hall of the apartment that,$SG,Susan admired the hall of the apartment that,0.10750173711296362
24a,English,Fernandez,low,sg,0,0,the halls,of the apartment,halls,apartment,Susan admired the halls of the apartment that MASKTOKEN painted.,Susan admired the halls of the apartment that,$SG,Susan admired the halls of the apartment that,0.04071305430313821
24a,English,Fernandez,high,sg,0,0,the hall,of the apartments,hall,apartments,Susan admired the hall of the apartments that MASKTOKEN painted.,Susan admired the hall of the apartments that,$SG,Susan admired the hall of the apartments that,0.10267314346153222
24a,English,Fernandez,ambi,pl,0,0,the halls,of the apartments,halls,apartments,Susan admired the halls of the apartments that MASKTOKEN painted.,Susan admired the halls of the apartments that,$PL,Susan admired the halls of the apartments that,0.15993078722650722
24a,English,Fernandez,low,pl,0,0,the hall,of the apartments,hall,apartments,Susan admired the hall of the apartments that MASKTOKEN painted.,Susan admired the hall of the apartments that,$PL,Susan admired the hall of the apartments that,0.08138818794440716
24a,English,Fernandez,high,pl,0,0,the halls,of the apartment,halls,apartment,Susan admired the halls of the apartment that MASKTOKEN painted.,Susan admired the halls of the apartment that,$PL,Susan admired the halls of the apartment that,0.0751428272087864
1,English,Cuetos_Mitchell,ambi,sg,0,0,the book,of the girl,book,girl,Peter was looking at the book of the girl that MASKTOKEN in the living room.,Peter was looking at the book of the girl that,$SG,Peter was looking at the book of the girl that,0.2097070534688772
1,English,Cuetos_Mitchell,low,sg,0,0,the books,of the girl,books,girl,Peter was looking at the books of the girl that MASKTOKEN in the living room.,Peter was looking at the books of the girl that,$SG,Peter was looking at the books of the girl that,0.19008893783874026
1,English,Cuetos_Mitchell,high,sg,0,0,the book,of the girls,book,girls,Peter was looking at the book of the girls that MASKTOKEN in the living room.,Peter was looking at the book of the girls that,$SG,Peter was looking at the book of the girls that,0.14860623857126765
1,English,Cuetos_Mitchell,ambi,pl,0,0,the books,of the girls,books,girls,Peter was looking at the books of the girls that MASKTOKEN in the living room.,Peter was looking at the books of the girls that,$PL,Peter was looking at the books of the girls that,0.26614068823633197
1,English,Cuetos_Mitchell,low,pl,0,0,the book,of the girls,book,girls,Peter was looking at the book of the girls that MASKTOKEN in the living room.,Peter was looking at the book of the girls that,$PL,Peter was looking at the book of the girls that,0.10756006984370359
1,English,Cuetos_Mitchell,high,pl,0,0,the books,of the girl,books,girl,Peter was looking at the books of the girl that MASKTOKEN in the living room.,Peter was looking at the books of the girl that,$PL,Peter was looking at the books of the girl that,0.01724636514136524
2,English,Cuetos_Mitchell,ambi,sg,0,0,the servant,of the actress,servant,actress,Someone shot the servant of the actress who MASKTOKEN on the balcony.,Someone shot the servant of the actress who,$SG,Someone shot the servant of the actress who,0.44409407057653727
2,English,Cuetos_Mitchell,low,sg,0,0,the servants,of the actress,servants,actress,Someone shot the servants of the actress who MASKTOKEN on the balcony.,Someone shot the servants of the actress who,$SG,Someone shot the servants of the actress who,0.42434245728900954
2,English,Cuetos_Mitchell,high,sg,0,0,the servant,of the actresses,servant,actresses,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,Someone shot the servant of the actresses who,$SG,Someone shot the servant of the actresses who,0.1910615611198283
2,English,Cuetos_Mitchell,ambi,pl,0,0,the servants,of the actresses,servants,actresses,Someone shot the servants of the actresses who MASKTOKEN on the balcony.,Someone shot the servants of the actresses who,$PL,Someone shot the servants of the actresses who,0.43475682259538573
2,English,Cuetos_Mitchell,low,pl,0,0,the servant,of the actresses,servant,actresses,Someone shot the servant of the actresses who MASKTOKEN on the balcony.,Someone shot the servant of the actresses who,$PL,Someone shot the servant of the actresses who,0.24289192052197972
2,English,Cuetos_Mitchell,high,pl,0,0,the servants,of the actress,servants,actress,Someone shot the servants of the actress who MASKTOKEN on the balcony.,Someone shot the servants of the actress who,$PL,Someone shot the servants of the actress who,0.010131281205073006
3,English,Cuetos_Mitchell,ambi,sg,0,0,the friend,of the teacher,friend,teacher,John met the friend of the teacher who MASKTOKEN in Germany.,John met the friend of the teacher who,$SG,John met the friend of the teacher who,0.19171450185836791
3,English,Cuetos_Mitchell,low,sg,0,0,the friends,of the teacher,friends,teacher,John met the friends of the teacher who MASKTOKEN in Germany.,John met the friends of the teacher who,$SG,John met the friends of the teacher who,0.18706595742846321
3,English,Cuetos_Mitchell,high,sg,0,0,the friend,of the teachers,friend,teachers,John met the friend of the teachers who MASKTOKEN in Germany.,John met the friend of the teachers who,$SG,John met the friend of the teachers who,0.1958360672350441
3,English,Cuetos_Mitchell,ambi,pl,0,0,the friends,of the teachers,friends,teachers,John met the friends of the teachers who MASKTOKEN in Germany.,John met the friends of the teachers who,$PL,John met the friends of the teachers who,0.2583429161055797
3,English,Cuetos_Mitchell,low,pl,0,0,the friend,of the teachers,friend,teachers,John met the friend of the teachers who MASKTOKEN in Germany.,John met the friend of the teachers who,$PL,John met the friend of the teachers who,0.026234733970782464
3,English,Cuetos_Mitchell,high,pl,0,0,the friends,of the teacher,friends,teacher,John met the friends of the teacher who MASKTOKEN in Germany.,John met the friends of the teacher who,$PL,John met the friends of the teacher who,0.021595545721158516
4,English,Cuetos_Mitchell,ambi,sg,0,0,the case,of the tourist,case,tourist,A thief was keeping an eye on the case of the tourist that MASKTOKEN by the mailbox.,A thief was keeping an eye on the case of the tourist that,$SG,A thief was keeping an eye on the case of the tourist that,0.23561411121585962
4,English,Cuetos_Mitchell,low,sg,0,0,the cases,of the tourist,cases,tourist,A thief was keeping an eye on the cases of the tourist that MASKTOKEN by the mailbox.,A thief was keeping an eye on the cases of the tourist that,$SG,A thief was keeping an eye on the cases of the tourist that,0.09204178535413732
4,English,Cuetos_Mitchell,high,sg,0,0,the case,of the tourists,case,tourists,A thief was keeping an eye on the case of the tourists that MASKTOKEN by the mailbox.,A thief was keeping an eye on the case of the tourists that,$SG,A thief was keeping an eye on the case of the tourists that,0.04976449176267428
4,English,Cuetos_Mitchell,ambi,pl,0,0,the cases,of the tourists,cases,tourists,A thief was keeping an eye on the cases of the tourists that MASKTOKEN by the mailbox.,A thief was keeping an eye on the cases of the tourists that,$PL,A thief was keeping an eye on the cases of the tourists that,0.30126065195929197
4,English,Cuetos_Mitchell,low,pl,0,0,the case,of the tourists,case,tourists,A thief was keeping an eye on the case of the tourists that MASKTOKEN by the mailbox.,A thief was keeping an eye on the case of the tourists that,$PL,A thief was keeping an eye on the case of the tourists that,0.23255849914689453
4,English,Cuetos_Mitchell,high,pl,0,0,the cases,of the tourist,cases,tourist,A thief was keeping an eye on the cases of the tourist that MASKTOKEN by the mailbox.,A thief was keeping an eye on the cases of the tourist that,$PL,A thief was keeping an eye on the cases of the tourist that,0.1416722574295015
5,English,Cuetos_Mitchell,ambi,sg,1,0,the animal,of the peasant,animal,peasant,The tourist photographed the animal of the peasant that MASKTOKEN by the puddle.,The tourist photographed the animal of the peasant that,$SG,The tourist photographed the animal of the peasant that,0.16817290097868032
5,English,Cuetos_Mitchell,low,sg,1,0,the animals,of the peasant,animals,peasant,The tourist photographed the animals of the peasant that MASKTOKEN by the puddle.,The tourist photographed the animals of the peasant that,$SG,The tourist photographed the animals of the peasant that,0.09726855359521025
5,English,Cuetos_Mitchell,high,sg,1,0,the animal,of the peasants,animal,peasants,The tourist photographed the animal of the peasants that MASKTOKEN by the puddle.,The tourist photographed the animal of the peasants that,$SG,The tourist photographed the animal of the peasants that,0.09711271260660403
5,English,Cuetos_Mitchell,ambi,pl,1,0,the animals,of the peasants,animals,peasants,The tourist photographed the animals of the peasants that MASKTOKEN by the puddle.,The tourist photographed the animals of the peasants that,$PL,The tourist photographed the animals of the peasants that,0.2139935672952582
5,English,Cuetos_Mitchell,low,pl,1,0,the animal,of the peasants,animal,peasants,The tourist photographed the animal of the peasants that MASKTOKEN by the puddle.,The tourist photographed the animal of the peasants that,$PL,The tourist photographed the animal of the peasants that,0.1645233320745927
5,English,Cuetos_Mitchell,high,pl,1,0,the animals,of the peasant,animals,peasant,The tourist photographed the animals of the peasant that MASKTOKEN by the puddle.,The tourist photographed the animals of the peasant that,$PL,The tourist photographed the animals of the peasant that,0.08508064510930957
6,English,Cuetos_Mitchell,ambi,sg,0,1,the sister,of the driver,sister,driver,The police arrested the sister of the driver who MASKTOKEN in Melilla.,The police arrested the sister of the driver who,$SG,The police arrested the sister of the driver who,0.27024074765770445
6,English,Cuetos_Mitchell,low,sg,0,1,the sisters,of the driver,sisters,driver,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,The police arrested the sisters of the driver who,$SG,The police arrested the sisters of the driver who,0.2240105350963406
6,English,Cuetos_Mitchell,high,sg,0,1,the sister,of the driver,sister,driver,The police arrested the sister of the driver who MASKTOKEN in Melilla.,The police arrested the sister of the driver who,$SG,The police arrested the sister of the driver who,0.27024074765770445
6,English,Cuetos_Mitchell,ambi,pl,0,1,the sisters,of the driver,sisters,driver,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,The police arrested the sisters of the driver who,$PL,The police arrested the sisters of the driver who,0.05520878049492839
6,English,Cuetos_Mitchell,low,pl,0,1,the sister,of the driver,sister,driver,The police arrested the sister of the driver who MASKTOKEN in Melilla.,The police arrested the sister of the driver who,$PL,The police arrested the sister of the driver who,0.04797078654746578
6,English,Cuetos_Mitchell,high,pl,0,1,the sisters,of the driver,sisters,driver,The police arrested the sisters of the driver who MASKTOKEN in Melilla.,The police arrested the sisters of the driver who,$PL,The police arrested the sisters of the driver who,0.05520880171234355
7,English,Cuetos_Mitchell,ambi,sg,1,0,the medicine,of the patient,medicine,patient,The nurse took the medicine of the patient that MASKTOKEN by the window.,The nurse took the medicine of the patient that,$SG,The nurse took the medicine of the patient that,0.25685640475173344
7,English,Cuetos_Mitchell,low,sg,1,0,the medicines,of the patient,medicines,patient,The nurse took the medicines of the patient that MASKTOKEN by the window.,The nurse took the medicines of the patient that,$SG,The nurse took the medicines of the patient that,0.0990931124850416
7,English,Cuetos_Mitchell,high,sg,1,0,the medicine,of the patients,medicine,patients,The nurse took the medicine of the patients that MASKTOKEN by the window.,The nurse took the medicine of the patients that,$SG,The nurse took the medicine of the patients that,0.07370051202616112
7,English,Cuetos_Mitchell,ambi,pl,1,0,the medicines,of the patients,medicines,patients,The nurse took the medicines of the patients that MASKTOKEN by the window.,The nurse took the medicines of the patients that,$PL,The nurse took the medicines of the patients that,0.33336009128663147
7,English,Cuetos_Mitchell,low,pl,1,0,the medicine,of the patients,medicine,patients,The nurse took the medicine of the patients that MASKTOKEN by the window.,The nurse took the medicine of the patients that,$PL,The nurse took the medicine of the patients that,0.2677619265313185
7,English,Cuetos_Mitchell,high,pl,1,0,the medicines,of the patient,medicines,patient,The nurse took the medicines of the patient that MASKTOKEN by the window.,The nurse took the medicines of the patient that,$PL,The nurse took the medicines of the patient that,0.18328341306726337
8,English,Cuetos_Mitchell,ambi,sg,1,1,the sibling,of the farmer,sibling,farmer,Andrew was speaking with the sibling of the farmer who MASKTOKEN in Brazil.,Andrew was speaking with the sibling of the farmer who,$SG,Andrew was speaking with the sibling of the farmer who,0.29579648677780046
8,English,Cuetos_Mitchell,low,sg,1,1,the siblings,of the farmer,siblings,farmer,Andrew was speaking with the siblings of the farmer who MASKTOKEN in Brazil.,Andrew was speaking with the siblings of the farmer who,$SG,Andrew was speaking with the siblings of the farmer who,0.3327257274735729
8,English,Cuetos_Mitchell,high,sg,1,1,the sibling,of the farmers,sibling,farmers,Andrew was speaking with the sibling of the farmers who MASKTOKEN in Brazil.,Andrew was speaking with the sibling of the farmers who,$SG,Andrew was speaking with the sibling of the farmers who,0.1676842523796771
8,English,Cuetos_Mitchell,ambi,pl,1,1,the siblings,of the farmers,siblings,farmers,Andrew was speaking with the siblings of the farmers who MASKTOKEN in Brazil.,Andrew was speaking with the siblings of the farmers who,$PL,Andrew was speaking with the siblings of the farmers who,0.3367599717027838
8,English,Cuetos_Mitchell,low,pl,1,1,the sibling,of the farmers,sibling,farmers,Andrew was speaking with the sibling of the farmers who MASKTOKEN in Brazil.,Andrew was speaking with the sibling of the farmers who,$PL,Andrew was speaking with the sibling of the farmers who,0.16052317397613436
8,English,Cuetos_Mitchell,high,pl,1,1,the siblings,of the farmer,siblings,farmer,Andrew was speaking with the siblings of the farmer who MASKTOKEN in Brazil.,Andrew was speaking with the siblings of the farmer who,$PL,Andrew was speaking with the siblings of the farmer who,0.01446381859005963
9,English,Cuetos_Mitchell,ambi,sg,0,0,the shoe,of the guest,shoe,guest,The servant contemplated the shoe of the guest that MASKTOKEN close to the fireplace.,The servant contemplated the shoe of the guest that,$SG,The servant contemplated the shoe of the guest that,0.2857871430398369
