item,lang,exp,AttachType,verbNum,N1_changed,N2_changed,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
9,English,Cuetos_Mitchell,low,sg,0,0,the shoes,of the guest,shoes,guest,The servant contemplated the shoes of the guest that MASKTOKEN close to the fireplace.,The servant contemplated the shoes of the guest that,$SG,The servant contemplated the shoes of the guest that,0.2339960943188215
9,English,Cuetos_Mitchell,high,sg,0,0,the shoe,of the guests,shoe,guests,The servant contemplated the shoe of the guests that MASKTOKEN close to the fireplace.,The servant contemplated the shoe of the guests that,$SG,The servant contemplated the shoe of the guests that,0.1773145791096553
9,English,Cuetos_Mitchell,ambi,pl,0,0,the shoes,of the guests,shoes,guests,The servant contemplated the shoes of the guests that MASKTOKEN close to the fireplace.,The servant contemplated the shoes of the guests that,$PL,The servant contemplated the shoes of the guests that,0.3915926916233632
9,English,Cuetos_Mitchell,low,pl,0,0,the shoe,of the guests,shoe,guests,The servant contemplated the shoe of the guests that MASKTOKEN close to the fireplace.,The servant contemplated the shoe of the guests that,$PL,The servant contemplated the shoe of the guests that,0.21046904581572168
9,English,Cuetos_Mitchell,high,pl,0,0,the shoes,of the guest,shoes,guest,The servant contemplated the shoes of the guest that MASKTOKEN close to the fireplace.,The servant contemplated the shoes of the guest that,$PL,The servant contemplated the shoes of the guest that,0.09877571468636415
10,English,Cuetos_Mitchell,ambi,sg,0,1,the girlfriend,of the town leader,girlfriend,leader,Yesterday I met with the girlfriend of the town leader who MASKTOKEN in Australia.,Yesterday I met with the girlfriend of the town leader who,$SG,Yesterday I met with the girlfriend of the town leader who,0.41259927794624796
10,English,Cuetos_Mitchell,low,sg,0,1,the girlfriends,of the town leader,girlfriends,leader,Yesterday I met with the girlfriends of the town leader who MASKTOKEN in Australia.,Yesterday I met with the girlfriends of the town leader who,$SG,Yesterday I met with the girlfriends of the town leader who,0.3404535178393884
10,English,Cuetos_Mitchell,high,sg,0,1,the girlfriend,of the town leaders,girlfriend,leaders,Yesterday I met with the girlfriend of the town leaders who MASKTOKEN in Australia.,Yesterday I met with the girlfriend of the town leaders who,$SG,Yesterday I met with the girlfriend of the town leaders who,0.13515984860799035
10,English,Cuetos_Mitchell,ambi,pl,0,1,the girlfriends,of the town leaders,girlfriends,leaders,Yesterday I met with the girlfriends of the town leaders who MASKTOKEN in Australia.,Yesterday I met with the girlfriends of the town leaders who,$PL,Yesterday I met with the girlfriends of the town leaders who,0.4148974272414856
10,English,Cuetos_Mitchell,low,pl,0,1,the girlfriend,of the town leaders,girlfriend,leaders,Yesterday I met with the girlfriend of the town leaders who MASKTOKEN in Australia.,Yesterday I met with the girlfriend of the town leaders who,$PL,Yesterday I met with the girlfriend of the town leaders who,0.2716615684158472
10,English,Cuetos_Mitchell,high,pl,0,1,the girlfriends,of the town leader,girlfriends,leader,Yesterday I met with the girlfriends of the town leader who MASKTOKEN in Australia.,Yesterday I met with the girlfriends of the town leader who,$PL,Yesterday I met with the girlfriends of the town leader who,0.08368090778192072
11,English,Cuetos_Mitchell,ambi,sg,0,1,the horse,of the traveler,horse,traveler,The bailiff locked up the horse of the traveler that MASKTOKEN by the bridge.,The bailiff locked up the horse of the traveler that,$SG,The bailiff locked up the horse of the traveler that,0.2501463575566927
11,English,Cuetos_Mitchell,low,sg,0,1,the horses,of the traveler,horses,traveler,The bailiff locked up the horses of the traveler that MASKTOKEN by the bridge.,The bailiff locked up the horses of the traveler that,$SG,The bailiff locked up the horses of the traveler that,0.24372133788827122
11,English,Cuetos_Mitchell,high,sg,0,1,the horse,of the travelers,horse,travelers,The bailiff locked up the horse of the travelers that MASKTOKEN by the bridge.,The bailiff locked up the horse of the travelers that,$SG,The bailiff locked up the horse of the travelers that,0.2394171828314322
11,English,Cuetos_Mitchell,ambi,pl,0,1,the horses,of the travelers,horses,travelers,The bailiff locked up the horses of the travelers that MASKTOKEN by the bridge.,The bailiff locked up the horses of the travelers that,$PL,The bailiff locked up the horses of the travelers that,0.3438782257439441
11,English,Cuetos_Mitchell,low,pl,0,1,the horse,of the travelers,horse,travelers,The bailiff locked up the horse of the travelers that MASKTOKEN by the bridge.,The bailiff locked up the horse of the travelers that,$PL,The bailiff locked up the horse of the travelers that,0.09448735018084564
11,English,Cuetos_Mitchell,high,pl,0,1,the horses,of the traveler,horses,traveler,The bailiff locked up the horses of the traveler that MASKTOKEN by the bridge.,The bailiff locked up the horses of the traveler that,$PL,The bailiff locked up the horses of the traveler that,0.023770827628954994
12,English,Cuetos_Mitchell,ambi,sg,0,0,the toy,of the baby,toy,baby,The old lady was observing the toy of the baby that MASKTOKEN on the bed.,The old lady was observing the toy of the baby that,$SG,The old lady was observing the toy of the baby that,0.3882952753811373
12,English,Cuetos_Mitchell,low,sg,0,0,the toys,of the baby,toys,baby,The old lady was observing the toys of the baby that MASKTOKEN on the bed.,The old lady was observing the toys of the baby that,$SG,The old lady was observing the toys of the baby that,0.36600108048322477
12,English,Cuetos_Mitchell,high,sg,0,0,the toy,of the babies,toy,babies,The old lady was observing the toy of the babies that MASKTOKEN on the bed.,The old lady was observing the toy of the babies that,$SG,The old lady was observing the toy of the babies that,0.14019354487198932
12,English,Cuetos_Mitchell,ambi,pl,0,0,the toys,of the babies,toys,babies,The old lady was observing the toys of the babies that MASKTOKEN on the bed.,The old lady was observing the toys of the babies that,$PL,The old lady was observing the toys of the babies that,0.5788289024765538
12,English,Cuetos_Mitchell,low,pl,0,0,the toy,of the babies,toy,babies,The old lady was observing the toy of the babies that MASKTOKEN on the bed.,The old lady was observing the toy of the babies that,$PL,The old lady was observing the toy of the babies that,0.3640511636556303
12,English,Cuetos_Mitchell,high,pl,0,0,the toys,of the baby,toys,baby,The old lady was observing the toys of the baby that MASKTOKEN on the bed.,The old lady was observing the toys of the baby that,$PL,The old lady was observing the toys of the baby that,0.13733789777251082
13,English,Cuetos_Mitchell,ambi,sg,0,1,the daughter,of the captain,daughter,captain,The journalist interviewed the daughter of the captain who MASKTOKEN near the accident.,The journalist interviewed the daughter of the captain who,$SG,The journalist interviewed the daughter of the captain who,0.25328239997006463
13,English,Cuetos_Mitchell,low,sg,0,1,the daughters,of the captain,daughters,captain,The journalist interviewed the daughters of the captain who MASKTOKEN near the accident.,The journalist interviewed the daughters of the captain who,$SG,The journalist interviewed the daughters of the captain who,0.22746632187874294
13,English,Cuetos_Mitchell,high,sg,0,1,the daughter,of the captains,daughter,captains,The journalist interviewed the daughter of the captains who MASKTOKEN near the accident.,The journalist interviewed the daughter of the captains who,$SG,The journalist interviewed the daughter of the captains who,0.07389998247795981
13,English,Cuetos_Mitchell,ambi,pl,0,1,the daughters,of the captains,daughters,captains,The journalist interviewed the daughters of the captains who MASKTOKEN near the accident.,The journalist interviewed the daughters of the captains who,$PL,The journalist interviewed the daughters of the captains who,0.23902880068196897
13,English,Cuetos_Mitchell,low,pl,0,1,the daughter,of the captains,daughter,captains,The journalist interviewed the daughter of the captains who MASKTOKEN near the accident.,The journalist interviewed the daughter of the captains who,$PL,The journalist interviewed the daughter of the captains who,0.19698666353507832
13,English,Cuetos_Mitchell,high,pl,0,1,the daughters,of the captain,daughters,captain,The journalist interviewed the daughters of the captain who MASKTOKEN near the accident.,The journalist interviewed the daughters of the captain who,$PL,The journalist interviewed the daughters of the captain who,0.0525462457446233
14,English,Cuetos_Mitchell,ambi,sg,0,1,the bag,of the visitor,bag,visitor,The peasant was gazing at the bag of the visitor that MASKTOKEN under a tree.,The peasant was gazing at the bag of the visitor that,$SG,The peasant was gazing at the bag of the visitor that,0.25970830589976046
14,English,Cuetos_Mitchell,low,sg,0,1,the bags,of the visitor,bags,visitor,The peasant was gazing at the bags of the visitor that MASKTOKEN under a tree.,The peasant was gazing at the bags of the visitor that,$SG,The peasant was gazing at the bags of the visitor that,0.04402064706106401
14,English,Cuetos_Mitchell,high,sg,0,1,the bag,of the visitors,bag,visitors,The peasant was gazing at the bag of the visitors that MASKTOKEN under a tree.,The peasant was gazing at the bag of the visitors that,$SG,The peasant was gazing at the bag of the visitors that,0.24827739058428744
14,English,Cuetos_Mitchell,ambi,pl,0,1,the bags,of the visitors,bags,visitors,The peasant was gazing at the bags of the visitors that MASKTOKEN under a tree.,The peasant was gazing at the bags of the visitors that,$PL,The peasant was gazing at the bags of the visitors that,0.37393970361300877
14,English,Cuetos_Mitchell,low,pl,0,1,the bag,of the visitors,bag,visitors,The peasant was gazing at the bag of the visitors that MASKTOKEN under a tree.,The peasant was gazing at the bag of the visitors that,$PL,The peasant was gazing at the bag of the visitors that,0.0534305720383923
14,English,Cuetos_Mitchell,high,pl,0,1,the bags,of the visitor,bags,visitor,The peasant was gazing at the bags of the visitor that MASKTOKEN under a tree.,The peasant was gazing at the bags of the visitor that,$PL,The peasant was gazing at the bags of the visitor that,0.3321516598048939
15,English,Cuetos_Mitchell,ambi,sg,0,0,the box,of the soldier,box,soldier,The people watched the box of the soldier that MASKTOKEN on the platform.,The people watched the box of the soldier that,$SG,The people watched the box of the soldier that,0.3209638476150589
15,English,Cuetos_Mitchell,low,sg,0,0,the boxes,of the soldier,boxes,soldier,The people watched the boxes of the soldier that MASKTOKEN on the platform.,The people watched the boxes of the soldier that,$SG,The people watched the boxes of the soldier that,0.22857899181257135
15,English,Cuetos_Mitchell,high,sg,0,0,the box,of the soldiers,box,soldiers,The people watched the box of the soldiers that MASKTOKEN on the platform.,The people watched the box of the soldiers that,$SG,The people watched the box of the soldiers that,0.1812503851883127
15,English,Cuetos_Mitchell,ambi,pl,0,0,the boxes,of the soldiers,boxes,soldiers,The people watched the boxes of the soldiers that MASKTOKEN on the platform.,The people watched the boxes of the soldiers that,$PL,The people watched the boxes of the soldiers that,0.4092633428535999
15,English,Cuetos_Mitchell,low,pl,0,0,the box,of the soldiers,box,soldiers,The people watched the box of the soldiers that MASKTOKEN on the platform.,The people watched the box of the soldiers that,$PL,The people watched the box of the soldiers that,0.21264127090261553
15,English,Cuetos_Mitchell,high,pl,0,0,the boxes,of the soldier,boxes,soldier,The people watched the boxes of the soldier that MASKTOKEN on the platform.,The people watched the boxes of the soldier that,$PL,The people watched the boxes of the soldier that,0.139591861524881
16,English,Cuetos_Mitchell,ambi,sg,0,1,the dog,of the fruit dealer,dog,dealer,Lewis ran over the dog of the fruit dealer that MASKTOKEN to this district.,Lewis ran over the dog of the fruit dealer that,$SG,Lewis ran over the dog of the fruit dealer that,0.12391602361308518
16,English,Cuetos_Mitchell,low,sg,0,1,the dogs,of the fruit dealer,dogs,dealer,Lewis ran over the dogs of the fruit dealer that MASKTOKEN to this district.,Lewis ran over the dogs of the fruit dealer that,$SG,Lewis ran over the dogs of the fruit dealer that,0.09004161845289183
16,English,Cuetos_Mitchell,high,sg,0,1,the dog,of the fruit dealers,dog,dealers,Lewis ran over the dog of the fruit dealers that MASKTOKEN to this district.,Lewis ran over the dog of the fruit dealers that,$SG,Lewis ran over the dog of the fruit dealers that,0.09951052868772692
16,English,Cuetos_Mitchell,ambi,pl,0,1,the dogs,of the fruit dealers,dogs,dealers,Lewis ran over the dogs of the fruit dealers that MASKTOKEN to this district.,Lewis ran over the dogs of the fruit dealers that,$PL,Lewis ran over the dogs of the fruit dealers that,0.17517813012830707
16,English,Cuetos_Mitchell,low,pl,0,1,the dog,of the fruit dealers,dog,dealers,Lewis ran over the dog of the fruit dealers that MASKTOKEN to this district.,Lewis ran over the dog of the fruit dealers that,$PL,Lewis ran over the dog of the fruit dealers that,0.05848005291281044
16,English,Cuetos_Mitchell,high,pl,0,1,the dogs,of the fruit dealer,dogs,dealer,Lewis ran over the dogs of the fruit dealer that MASKTOKEN to this district.,Lewis ran over the dogs of the fruit dealer that,$PL,Lewis ran over the dogs of the fruit dealer that,0.08039307511571092
17,English,Cuetos_Mitchell,ambi,sg,1,1,the relative,of the worker,relative,worker,Andrew had dinner with the relative of the worker who MASKTOKEN a member of the communist party.,Andrew had dinner with the relative of the worker who,$SG,Andrew had dinner with the relative of the worker who,0.2831392891919968
17,English,Cuetos_Mitchell,low,sg,1,1,the relatives,of the worker,relatives,worker,Andrew had dinner with the relatives of the worker who MASKTOKEN a member of the communist party.,Andrew had dinner with the relatives of the worker who,$SG,Andrew had dinner with the relatives of the worker who,0.1848732203083543
17,English,Cuetos_Mitchell,high,sg,1,1,the relative,of the workers,relative,workers,Andrew had dinner with the relative of the workers who MASKTOKEN a member of the communist party.,Andrew had dinner with the relative of the workers who,$SG,Andrew had dinner with the relative of the workers who,0.07611335777297068
17,English,Cuetos_Mitchell,ambi,pl,1,1,the relatives,of the workers,relatives,workers,Andrew had dinner with the relatives of the workers who MASKTOKEN a member of the communist party.,Andrew had dinner with the relatives of the workers who,$PL,Andrew had dinner with the relatives of the workers who,0.2523678642323186
17,English,Cuetos_Mitchell,low,pl,1,1,the relative,of the workers,relative,workers,Andrew had dinner with the relative of the workers who MASKTOKEN a member of the communist party.,Andrew had dinner with the relative of the workers who,$PL,Andrew had dinner with the relative of the workers who,0.23462181197051013
17,English,Cuetos_Mitchell,high,pl,1,1,the relatives,of the worker,relatives,worker,Andrew had dinner with the relatives of the worker who MASKTOKEN a member of the communist party.,Andrew had dinner with the relatives of the worker who,$PL,Andrew had dinner with the relatives of the worker who,0.007233473848159533
18,English,Cuetos_Mitchell,ambi,sg,0,0,the cat,of the french girl,cat,girl,George was stroking the cat of the french girl that MASKTOKEN at the fountain.,George was stroking the cat of the french girl that,$SG,George was stroking the cat of the french girl that,0.33297978560405816
18,English,Cuetos_Mitchell,low,sg,0,0,the cats,of the french girl,cats,girl,George was stroking the cats of the french girl that MASKTOKEN at the fountain.,George was stroking the cats of the french girl that,$SG,George was stroking the cats of the french girl that,0.2798781144196347
18,English,Cuetos_Mitchell,high,sg,0,0,the cat,of the french girls,cat,girls,George was stroking the cat of the french girls that MASKTOKEN at the fountain.,George was stroking the cat of the french girls that,$SG,George was stroking the cat of the french girls that,0.1818524448304757
18,English,Cuetos_Mitchell,ambi,pl,0,0,the cats,of the french girls,cats,girls,George was stroking the cats of the french girls that MASKTOKEN at the fountain.,George was stroking the cats of the french girls that,$PL,George was stroking the cats of the french girls that,0.3273241309594592
18,English,Cuetos_Mitchell,low,pl,0,0,the cat,of the french girls,cat,girls,George was stroking the cat of the french girls that MASKTOKEN at the fountain.,George was stroking the cat of the french girls that,$PL,George was stroking the cat of the french girls that,0.20584806070109885
18,English,Cuetos_Mitchell,high,pl,0,0,the cats,of the french girl,cats,girl,George was stroking the cats of the french girl that MASKTOKEN at the fountain.,George was stroking the cats of the french girl that,$PL,George was stroking the cats of the french girl that,0.0366912866093454
19,English,Cuetos_Mitchell,ambi,sg,0,0,the brother,of the priest,brother,priest,Martha cheered the brother of the priest who MASKTOKEN in the school.,Martha cheered the brother of the priest who,$SG,Martha cheered the brother of the priest who,0.19341305613286908
19,English,Cuetos_Mitchell,low,sg,0,0,the brothers,of the priest,brothers,priest,Martha cheered the brothers of the priest who MASKTOKEN in the school.,Martha cheered the brothers of the priest who,$SG,Martha cheered the brothers of the priest who,0.1366271925226652
19,English,Cuetos_Mitchell,high,sg,0,0,the brother,of the priests,brother,priests,Martha cheered the brother of the priests who MASKTOKEN in the school.,Martha cheered the brother of the priests who,$SG,Martha cheered the brother of the priests who,0.1680961604827158
19,English,Cuetos_Mitchell,ambi,pl,0,0,the brothers,of the priests,brothers,priests,Martha cheered the brothers of the priests who MASKTOKEN in the school.,Martha cheered the brothers of the priests who,$PL,Martha cheered the brothers of the priests who,0.2124849092339467
19,English,Cuetos_Mitchell,low,pl,0,0,the brother,of the priests,brother,priests,Martha cheered the brother of the priests who MASKTOKEN in the school.,Martha cheered the brother of the priests who,$PL,Martha cheered the brother of the priests who,0.05040605593402425
19,English,Cuetos_Mitchell,high,pl,0,0,the brothers,of the priest,brothers,priest,Martha cheered the brothers of the priest who MASKTOKEN in the school.,Martha cheered the brothers of the priest who,$PL,Martha cheered the brothers of the priest who,0.03214020477253854
20,English,Cuetos_Mitchell,ambi,sg,1,0,the container,of the student,container,student,The detective photographed the container of the student that MASKTOKEN on the terrace.,The detective photographed the container of the student that,$SG,The detective photographed the container of the student that,0.27733009206020176
20,English,Cuetos_Mitchell,low,sg,1,0,the containers,of the student,containers,student,The detective photographed the containers of the student that MASKTOKEN on the terrace.,The detective photographed the containers of the student that,$SG,The detective photographed the containers of the student that,0.10392025816520789
20,English,Cuetos_Mitchell,high,sg,1,0,the container,of the students,container,students,The detective photographed the container of the students that MASKTOKEN on the terrace.,The detective photographed the container of the students that,$SG,The detective photographed the container of the students that,0.17486239656779468
20,English,Cuetos_Mitchell,ambi,pl,1,0,the containers,of the students,containers,students,The detective photographed the containers of the students that MASKTOKEN on the terrace.,The detective photographed the containers of the students that,$PL,The detective photographed the containers of the students that,0.38594193056920467
20,English,Cuetos_Mitchell,low,pl,1,0,the container,of the students,container,students,The detective photographed the container of the students that MASKTOKEN on the terrace.,The detective photographed the container of the students that,$PL,The detective photographed the container of the students that,0.1577199380256884
20,English,Cuetos_Mitchell,high,pl,1,0,the containers,of the student,containers,student,The detective photographed the containers of the student that MASKTOKEN on the terrace.,The detective photographed the containers of the student that,$PL,The detective photographed the containers of the student that,0.21001181334468377
21,English,Cuetos_Mitchell,ambi,sg,0,1,the cousin,of the man,cousin,man,Mary argued with the cousin of the man who MASKTOKEN in Argentina.,Mary argued with the cousin of the man who,$SG,Mary argued with the cousin of the man who,0.15978310154474684
21,English,Cuetos_Mitchell,low,sg,0,1,the cousins,of the man,cousins,man,Mary argued with the cousins of the man who MASKTOKEN in Argentina.,Mary argued with the cousins of the man who,$SG,Mary argued with the cousins of the man who,0.1258205822334384
21,English,Cuetos_Mitchell,high,sg,0,1,the cousin,of the men,cousin,men,Mary argued with the cousin of the men who MASKTOKEN in Argentina.,Mary argued with the cousin of the men who,$SG,Mary argued with the cousin of the men who,0.15266522848713882
21,English,Cuetos_Mitchell,ambi,pl,0,1,the cousins,of the men,cousins,men,Mary argued with the cousins of the men who MASKTOKEN in Argentina.,Mary argued with the cousins of the men who,$PL,Mary argued with the cousins of the men who,0.1810360902116912
21,English,Cuetos_Mitchell,low,pl,0,1,the cousin,of the men,cousin,men,Mary argued with the cousin of the men who MASKTOKEN in Argentina.,Mary argued with the cousin of the men who,$PL,Mary argued with the cousin of the men who,0.10605829728221838
21,English,Cuetos_Mitchell,high,pl,0,1,the cousins,of the man,cousins,man,Mary argued with the cousins of the man who MASKTOKEN in Argentina.,Mary argued with the cousins of the man who,$PL,Mary argued with the cousins of the man who,0.020967281544705063
22,English,Cuetos_Mitchell,ambi,sg,1,0,the child,of the teacher,child,teacher,The boys poked fun at the child of the teacher who MASKTOKEN in the park.,The boys poked fun at the child of the teacher who,$SG,The boys poked fun at the child of the teacher who,0.3228619630543377
22,English,Cuetos_Mitchell,low,sg,1,0,the children,of the teacher,children,teacher,The boys poked fun at the children of the teacher who MASKTOKEN in the park.,The boys poked fun at the children of the teacher who,$SG,The boys poked fun at the children of the teacher who,0.24540986829147338
22,English,Cuetos_Mitchell,high,sg,1,0,the child,of the teachers,child,teachers,The boys poked fun at the child of the teachers who MASKTOKEN in the park.,The boys poked fun at the child of the teachers who,$SG,The boys poked fun at the child of the teachers who,0.15982989293224303
22,English,Cuetos_Mitchell,ambi,pl,1,0,the children,of the teachers,children,teachers,The boys poked fun at the children of the teachers who MASKTOKEN in the park.,The boys poked fun at the children of the teachers who,$PL,The boys poked fun at the children of the teachers who,0.3079660585081472
22,English,Cuetos_Mitchell,low,pl,1,0,the child,of the teachers,child,teachers,The boys poked fun at the child of the teachers who MASKTOKEN in the park.,The boys poked fun at the child of the teachers who,$PL,The boys poked fun at the child of the teachers who,0.14338941296929164
22,English,Cuetos_Mitchell,high,pl,1,0,the children,of the teacher,children,teacher,The boys poked fun at the children of the teacher who MASKTOKEN in the park.,The boys poked fun at the children of the teacher who,$PL,The boys poked fun at the children of the teacher who,0.022737179746550318
23,English,Cuetos_Mitchell,ambi,sg,1,1,the servant,of the lady,servant,lady,My mother argued with the servant of the lady who MASKTOKEN in the house.,My mother argued with the servant of the lady who,$SG,My mother argued with the servant of the lady who,0.23550350099751682
23,English,Cuetos_Mitchell,low,sg,1,1,the servants,of the lady,servants,lady,My mother argued with the servants of the lady who MASKTOKEN in the house.,My mother argued with the servants of the lady who,$SG,My mother argued with the servants of the lady who,0.2065145517769711
23,English,Cuetos_Mitchell,high,sg,1,1,the servant,of the ladies,servant,ladies,My mother argued with the servant of the ladies who MASKTOKEN in the house.,My mother argued with the servant of the ladies who,$SG,My mother argued with the servant of the ladies who,0.08600636081978696
23,English,Cuetos_Mitchell,ambi,pl,1,1,the servants,of the ladies,servants,ladies,My mother argued with the servants of the ladies who MASKTOKEN in the house.,My mother argued with the servants of the ladies who,$PL,My mother argued with the servants of the ladies who,0.25441915645254287
23,English,Cuetos_Mitchell,low,pl,1,1,the servant,of the ladies,servant,ladies,My mother argued with the servant of the ladies who MASKTOKEN in the house.,My mother argued with the servant of the ladies who,$PL,My mother argued with the servant of the ladies who,0.21801865043147184
23,English,Cuetos_Mitchell,high,pl,1,1,the servants,of the lady,servants,lady,My mother argued with the servants of the lady who MASKTOKEN in the house.,My mother argued with the servants of the lady who,$PL,My mother argued with the servants of the lady who,0.014699393035342845
24,English,Cuetos_Mitchell,ambi,sg,0,0,the son,of the doctor,son,doctor,This afternoon I saw the son of the doctor who MASKTOKEN at our home.,This afternoon I saw the son of the doctor who,$SG,This afternoon I saw the son of the doctor who,0.21557915122779026
24,English,Cuetos_Mitchell,low,sg,0,0,the sons,of the doctor,sons,doctor,This afternoon I saw the sons of the doctor who MASKTOKEN at our home.,This afternoon I saw the sons of the doctor who,$SG,This afternoon I saw the sons of the doctor who,0.25222180259325633
24,English,Cuetos_Mitchell,high,sg,0,0,the son,of the doctors,son,doctors,This afternoon I saw the son of the doctors who MASKTOKEN at our home.,This afternoon I saw the son of the doctors who,$SG,This afternoon I saw the son of the doctors who,0.16123400260024656
24,English,Cuetos_Mitchell,ambi,pl,0,0,the sons,of the doctors,sons,doctors,This afternoon I saw the sons of the doctors who MASKTOKEN at our home.,This afternoon I saw the sons of the doctors who,$PL,This afternoon I saw the sons of the doctors who,0.31204296156558087
24,English,Cuetos_Mitchell,low,pl,0,0,the son,of the doctors,son,doctors,This afternoon I saw the son of the doctors who MASKTOKEN at our home.,This afternoon I saw the son of the doctors who,$PL,This afternoon I saw the son of the doctors who,0.05528846835286938
24,English,Cuetos_Mitchell,high,pl,0,0,the sons,of the doctor,sons,doctor,This afternoon I saw the sons of the doctor who MASKTOKEN at our home.,This afternoon I saw the sons of the doctor who,$PL,This afternoon I saw the sons of the doctor who,0.07423726703027711
