item,lang,exp,AttachType,antecedent,hasIC,verb,verbNum,N1_full,N2_full,N1,N2,mask_sents,auto_sents,target,sent,/data/gpt2-xl_prob
11,English,Rohde,high,NP1,1,praised,sg,the gardener,the millionaires,gardener,millionaires,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardener of the millionaires who,$SG,The woman praised the gardener of the millionaires who,0.129395936681449
11,English,Rohde,low,NP2,1,praised,sg,the gardeners,the millionaire,gardeners,millionaire,The woman praised the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardeners of the millionaire who,$SG,The woman praised the gardeners of the millionaire who,0.128885790456205
11,English,Rohde,low,NP2,1,praised,pl,the gardener,the millionaires,gardener,millionaires,The woman praised the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardener of the millionaires who,$PL,The woman praised the gardener of the millionaires who,0.047382121634641
11,English,Rohde,high,NP1,1,praised,pl,the gardeners,the millionaire,gardeners,millionaire,The woman praised the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman praised the gardeners of the millionaire who,$PL,The woman praised the gardeners of the millionaire who,0.02164520302185
11,English,Rohde,high,NP1,0,met,sg,the gardener,the millionaires,gardener,millionaires,The woman met the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardener of the millionaires who,$SG,The woman met the gardener of the millionaires who,0.094409103936916
11,English,Rohde,low,NP2,0,met,sg,the gardeners,the millionaire,gardeners,millionaire,The woman met the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardeners of the millionaire who,$SG,The woman met the gardeners of the millionaire who,0.159606546770361
11,English,Rohde,low,NP2,0,met,pl,the gardener,the millionaires,gardener,millionaires,The woman met the gardener of the millionaires who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardener of the millionaires who,$PL,The woman met the gardener of the millionaires who,0.145363321543124
11,English,Rohde,high,NP1,0,met,pl,the gardeners,the millionaire,gardeners,millionaire,The woman met the gardeners of the millionaire who MASKTOKEN recently installed a solar powered sprinkler.,The woman met the gardeners of the millionaire who,$PL,The woman met the gardeners of the millionaire who,0.016383172144402
12,English,Rohde,high,NP1,1,hates,sg,the cousin,the accountants,cousin,accountants,The man hates the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousin of the accountants who,$SG,The man hates the cousin of the accountants who,0.252871977092413
12,English,Rohde,low,NP2,1,hates,sg,the cousins,the accountant,cousins,accountant,The man hates the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousins of the accountant who,$SG,The man hates the cousins of the accountant who,0.350819412008679
12,English,Rohde,low,NP2,1,hates,pl,the cousin,the accountants,cousin,accountants,The man hates the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousin of the accountants who,$PL,The man hates the cousin of the accountants who,0.207546061893247
12,English,Rohde,high,NP1,1,hates,pl,the cousins,the accountant,cousins,accountant,The man hates the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man hates the cousins of the accountant who,$PL,The man hates the cousins of the accountant who,0.051976462433334
12,English,Rohde,high,NP1,0,carpools,sg,with the cousin,the accountants,cousin,accountants,The man carpools with the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousin of the accountants who,$SG,The man carpools with the cousin of the accountants who,0.163998553495585
12,English,Rohde,low,NP2,0,carpools,sg,with the cousins,the accountant,cousins,accountant,The man carpools with the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousins of the accountant who,$SG,The man carpools with the cousins of the accountant who,0.401565725960651
12,English,Rohde,low,NP2,0,carpools,pl,with the cousin,the accountants,cousin,accountants,The man carpools with the cousin of the accountants who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousin of the accountants who,$PL,The man carpools with the cousin of the accountants who,0.365601163489963
12,English,Rohde,high,NP1,0,carpools,pl,with the cousins,the accountant,cousins,accountant,The man carpools with the cousins of the accountant who MASKTOKEN forever telling the same tasteless jokes.,The man carpools with the cousins of the accountant who,$PL,The man carpools with the cousins of the accountant who,0.026801235639709
13,English,Rohde,high,NP1,1,blamed,sg,the niece,the florists,niece,florists,The woman blamed the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the niece of the florists who,$SG,The woman blamed the niece of the florists who,0.065259771100752
13,English,Rohde,low,NP2,1,blamed,sg,the nieces,the florist,nieces,florist,The woman blamed the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the nieces of the florist who,$SG,The woman blamed the nieces of the florist who,0.086737358271907
13,English,Rohde,low,NP2,1,blamed,pl,the niece,the florists,niece,florists,The woman blamed the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the niece of the florists who,$PL,The woman blamed the niece of the florists who,0.048776556875141
13,English,Rohde,high,NP1,1,blamed,pl,the nieces,the florist,nieces,florist,The woman blamed the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman blamed the nieces of the florist who,$PL,The woman blamed the nieces of the florist who,0.042610100140869
13,English,Rohde,high,NP1,0,waited,sg,with the niece,the florists,niece,florists,The woman waited with the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the niece of the florists who,$SG,The woman waited with the niece of the florists who,0.092912669680899
13,English,Rohde,low,NP2,0,waited,sg,with the nieces,the florist,nieces,florist,The woman waited with the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the nieces of the florist who,$SG,The woman waited with the nieces of the florist who,0.126191095575665
13,English,Rohde,low,NP2,0,waited,pl,with the niece,the florists,niece,florists,The woman waited with the niece of the florists who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the niece of the florists who,$PL,The woman waited with the niece of the florists who,0.051445095624174
13,English,Rohde,high,NP1,0,waited,pl,with the nieces,the florist,nieces,florist,The woman waited with the nieces of the florist who MASKTOKEN repeatedly ruined expensive orchids.,The woman waited with the nieces of the florist who,$PL,The woman waited with the nieces of the florist who,0.046434993232258
14,English,Rohde,high,NP1,1,helped,sg,the brother,the athletes,brother,athletes,The man helped the brother of the athletes who MASKTOKEN perpetually failing math class.,The man helped the brother of the athletes who,$SG,The man helped the brother of the athletes who,0.137635083508836
14,English,Rohde,low,NP2,1,helped,sg,the brothers,the athlete,brothers,athlete,The man helped the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man helped the brothers of the athlete who,$SG,The man helped the brothers of the athlete who,0.282971551109448
14,English,Rohde,low,NP2,1,helped,pl,the brother,the athletes,brother,athletes,The man helped the brother of the athletes who MASKTOKEN perpetually failing math class.,The man helped the brother of the athletes who,$PL,The man helped the brother of the athletes who,0.183549243505809
14,English,Rohde,high,NP1,1,helped,pl,the brothers,the athlete,brothers,athlete,The man helped the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man helped the brothers of the athlete who,$PL,The man helped the brothers of the athlete who,0.038298608625089
14,English,Rohde,high,NP1,0,ran,sg,into the brother,the athletes,brother,athletes,The man ran into the brother of the athletes who MASKTOKEN perpetually failing math class.,The man ran into the brother of the athletes who,$SG,The man ran into the brother of the athletes who,0.286926649634656
14,English,Rohde,low,NP2,0,ran,sg,into the brothers,the athlete,brothers,athlete,The man ran into the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man ran into the brothers of the athlete who,$SG,The man ran into the brothers of the athlete who,0.399080733935187
14,English,Rohde,low,NP2,0,ran,pl,into the brother,the athletes,brother,athletes,The man ran into the brother of the athletes who MASKTOKEN perpetually failing math class.,The man ran into the brother of the athletes who,$PL,The man ran into the brother of the athletes who,0.127363244326201
14,English,Rohde,high,NP1,0,ran,pl,into the brothers,the athlete,brothers,athlete,The man ran into the brothers of the athlete who MASKTOKEN perpetually failing math class.,The man ran into the brothers of the athlete who,$PL,The man ran into the brothers of the athlete who,0.056557985088469
15,English,Rohde,high,NP1,1,reproached,sg,the doctors,the supermodels,doctors,supermodels,The woman reproached the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodels who,$SG,The woman reproached the doctors of the supermodels who,0.002817825658326
15,English,Rohde,low,NP2,1,reproached,sg,the doctors,the supermodel,doctors,supermodel,The woman reproached the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodel who,$SG,The woman reproached the doctors of the supermodel who,0.164541177586971
15,English,Rohde,low,NP2,1,reproached,pl,the doctors,the supermodels,doctors,supermodels,The woman reproached the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodels who,$PL,The woman reproached the doctors of the supermodels who,0.288476991442842
15,English,Rohde,high,NP1,1,reproached,pl,the doctors,the supermodel,doctors,supermodel,The woman reproached the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman reproached the doctors of the supermodel who,$PL,The woman reproached the doctors of the supermodel who,0.090966056748171
15,English,Rohde,high,NP1,0,worked,sg,with the doctors,the supermodels,doctors,supermodels,The woman worked with the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodels who,$SG,The woman worked with the doctors of the supermodels who,0.005481224222196
15,English,Rohde,low,NP2,0,worked,sg,with the doctors,the supermodel,doctors,supermodel,The woman worked with the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodel who,$SG,The woman worked with the doctors of the supermodel who,0.283717927647441
15,English,Rohde,low,NP2,0,worked,pl,with the doctors,the supermodels,doctors,supermodels,The woman worked with the doctors of the supermodels who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodels who,$PL,The woman worked with the doctors of the supermodels who,0.352769615825853
15,English,Rohde,high,NP1,0,worked,pl,with the doctors,the supermodel,doctors,supermodel,The woman worked with the doctors of the supermodel who MASKTOKEN adamantly in favor of plastic surgery.,The woman worked with the doctors of the supermodel who,$PL,The woman worked with the doctors of the supermodel who,0.025899491425763
16,English,Rohde,high,NP1,1,pacified,sg,the associate,the businessmen,associate,businessmen,The man pacified the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associate of the businessmen who,$SG,The man pacified the associate of the businessmen who,0.112735366697287
16,English,Rohde,low,NP2,1,pacified,sg,the associates,the businessman,associates,businessman,The man pacified the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associates of the businessman who,$SG,The man pacified the associates of the businessman who,0.181695510884483
16,English,Rohde,low,NP2,1,pacified,pl,the associate,the businessmen,associate,businessmen,The man pacified the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associate of the businessmen who,$PL,The man pacified the associate of the businessmen who,0.144577571155217
16,English,Rohde,high,NP1,1,pacified,pl,the associates,the businessman,associates,businessman,The man pacified the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man pacified the associates of the businessman who,$PL,The man pacified the associates of the businessman who,0.029007683996823
16,English,Rohde,high,NP1,0,visited,sg,the associate,the businessmen,associate,businessmen,The man visited the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associate of the businessmen who,$SG,The man visited the associate of the businessmen who,0.186791660487604
16,English,Rohde,low,NP2,0,visited,sg,the associates,the businessman,associates,businessman,The man visited the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associates of the businessman who,$SG,The man visited the associates of the businessman who,0.232900514421266
16,English,Rohde,low,NP2,0,visited,pl,the associate,the businessmen,associate,businessmen,The man visited the associate of the businessmen who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associate of the businessmen who,$PL,The man visited the associate of the businessmen who,0.080911000280963
16,English,Rohde,high,NP1,0,visited,pl,the associates,the businessman,associates,businessman,The man visited the associates of the businessman who MASKTOKEN nearly bankrupted by the new tax policy.,The man visited the associates of the businessman who,$PL,The man visited the associates of the businessman who,0.020386745184994
17,English,Rohde,high,NP1,1,detests,sg,the child,the musicians,child,musicians,The woman detests the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman detests the child of the musicians who,$SG,The woman detests the child of the musicians who,0.051166177212657
17,English,Rohde,low,NP2,1,detests,sg,the children,the musician,children,musician,The woman detests the children of the musician who MASKTOKEN generally arrogant and rude.,The woman detests the children of the musician who,$SG,The woman detests the children of the musician who,0.451884440150749
17,English,Rohde,low,NP2,1,detests,pl,the child,the musicians,child,musicians,The woman detests the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman detests the child of the musicians who,$PL,The woman detests the child of the musicians who,0.421299083068291
17,English,Rohde,high,NP1,1,detests,pl,the children,the musician,children,musician,The woman detests the children of the musician who MASKTOKEN generally arrogant and rude.,The woman detests the children of the musician who,$PL,The woman detests the children of the musician who,0.033823013325565
17,English,Rohde,high,NP1,0,babysits,sg,the child,the musicians,child,musicians,The woman babysits the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman babysits the child of the musicians who,$SG,The woman babysits the child of the musicians who,0.047175685570506
17,English,Rohde,low,NP2,0,babysits,sg,the children,the musician,children,musician,The woman babysits the children of the musician who MASKTOKEN generally arrogant and rude.,The woman babysits the children of the musician who,$SG,The woman babysits the children of the musician who,0.572028513597848
17,English,Rohde,low,NP2,0,babysits,pl,the child,the musicians,child,musicians,The woman babysits the child of the musicians who MASKTOKEN generally arrogant and rude.,The woman babysits the child of the musicians who,$PL,The woman babysits the child of the musicians who,0.643535503994247
17,English,Rohde,high,NP1,0,babysits,pl,the children,the musician,children,musician,The woman babysits the children of the musician who MASKTOKEN generally arrogant and rude.,The woman babysits the children of the musician who,$PL,The woman babysits the children of the musician who,0.023805294735931
18,English,Rohde,high,NP1,1,thanked,sg,the servant,the dictators,servant,dictators,The man thanked the servant of the dictators who MASKTOKEN lately been helping the poor.,The man thanked the servant of the dictators who,$SG,The man thanked the servant of the dictators who,0.040119222511996
18,English,Rohde,low,NP2,1,thanked,sg,the servants,the dictator,servants,dictator,The man thanked the servants of the dictator who MASKTOKEN lately been helping the poor.,The man thanked the servants of the dictator who,$SG,The man thanked the servants of the dictator who,0.059271814387731
18,English,Rohde,low,NP2,1,thanked,pl,the servant,the dictators,servant,dictators,The man thanked the servant of the dictators who MASKTOKEN lately been helping the poor.,The man thanked the servant of the dictators who,$PL,The man thanked the servant of the dictators who,0.109020656194522
18,English,Rohde,high,NP1,1,thanked,pl,the servants,the dictator,servants,dictator,The man thanked the servants of the dictator who MASKTOKEN lately been helping the poor.,The man thanked the servants of the dictator who,$PL,The man thanked the servants of the dictator who,0.048919952879076
18,English,Rohde,high,NP1,0,talked,sg,to the servant,the dictators,servant,dictators,The man talked to the servant of the dictators who MASKTOKEN lately been helping the poor.,The man talked to the servant of the dictators who,$SG,The man talked to the servant of the dictators who,0.091510125470388
18,English,Rohde,low,NP2,0,talked,sg,to the servants,the dictator,servants,dictator,The man talked to the servants of the dictator who MASKTOKEN lately been helping the poor.,The man talked to the servants of the dictator who,$SG,The man talked to the servants of the dictator who,0.307026100912516
18,English,Rohde,low,NP2,0,talked,pl,to the servant,the dictators,servant,dictators,The man talked to the servant of the dictators who MASKTOKEN lately been helping the poor.,The man talked to the servant of the dictators who,$PL,The man talked to the servant of the dictators who,0.271198552021319
18,English,Rohde,high,NP1,0,talked,pl,to the servants,the dictator,servants,dictator,The man talked to the servants of the dictator who MASKTOKEN lately been helping the poor.,The man talked to the servants of the dictator who,$PL,The man talked to the servants of the dictator who,0.059025329943465
19,English,Rohde,high,NP1,1,congratulated,sg,the bodyguard,the celebrities,bodyguard,celebrities,The woman congratulated the bodyguard of the celebrities who MASKTOKEN constantly fighting off the paparazzi.,The woman congratulated the bodyguard of the celebrities who,$SG,The woman congratulated the bodyguard of the celebrities who,0.014883327160041
19,English,Rohde,low,NP2,1,congratulated,sg,the bodyguards,the celebrity,bodyguards,celebrity,The woman congratulated the bodyguards of the celebrity who MASKTOKEN constantly fighting off the paparazzi.,The woman congratulated the bodyguards of the celebrity who,$SG,The woman congratulated the bodyguards of the celebrity who,0.197717396686483
19,English,Rohde,low,NP2,1,congratulated,pl,the bodyguard,the celebrities,bodyguard,celebrities,The woman congratulated the bodyguard of the celebrities who MASKTOKEN constantly fighting off the paparazzi.,The woman congratulated the bodyguard of the celebrities who,$PL,The woman congratulated the bodyguard of the celebrities who,0.321690828722817
19,English,Rohde,high,NP1,1,congratulated,pl,the bodyguards,the celebrity,bodyguards,celebrity,The woman congratulated the bodyguards of the celebrity who MASKTOKEN constantly fighting off the paparazzi.,The woman congratulated the bodyguards of the celebrity who,$PL,The woman congratulated the bodyguards of the celebrity who,0.054573706155225
19,English,Rohde,high,NP1,0,chatted,sg,with the bodyguard,the celebrities,bodyguard,celebrities,The woman chatted with the bodyguard of the celebrities who MASKTOKEN constantly fighting off the paparazzi.,The woman chatted with the bodyguard of the celebrities who,$SG,The woman chatted with the bodyguard of the celebrities who,0.010177874971103
19,English,Rohde,low,NP2,0,chatted,sg,with the bodyguards,the celebrity,bodyguards,celebrity,The woman chatted with the bodyguards of the celebrity who MASKTOKEN constantly fighting off the paparazzi.,The woman chatted with the bodyguards of the celebrity who,$SG,The woman chatted with the bodyguards of the celebrity who,0.325155936597585
19,English,Rohde,low,NP2,0,chatted,pl,with the bodyguard,the celebrities,bodyguard,celebrities,The woman chatted with the bodyguard of the celebrities who MASKTOKEN constantly fighting off the paparazzi.,The woman chatted with the bodyguard of the celebrities who,$PL,The woman chatted with the bodyguard of the celebrities who,0.483113796495529
19,English,Rohde,high,NP1,0,chatted,pl,with the bodyguards,the celebrity,bodyguards,celebrity,The woman chatted with the bodyguards of the celebrity who MASKTOKEN constantly fighting off the paparazzi.,The woman chatted with the bodyguards of the celebrity who,$PL,The woman chatted with the bodyguards of the celebrity who,0.033515248800987
20,English,Rohde,high,NP1,1,mocked,sg,the fan,the singers,fan,singers,The man mocked the fan of the singers who MASKTOKEN continually stage diving and getting hurt.,The man mocked the fan of the singers who,$SG,The man mocked the fan of the singers who,0.206844223673752
20,English,Rohde,low,NP2,1,mocked,sg,the fans,the singer,fans,singer,The man mocked the fans of the singer who MASKTOKEN continually stage diving and getting hurt.,The man mocked the fans of the singer who,$SG,The man mocked the fans of the singer who,0.188217960546108
20,English,Rohde,low,NP2,1,mocked,pl,the fan,the singers,fan,singers,The man mocked the fan of the singers who MASKTOKEN continually stage diving and getting hurt.,The man mocked the fan of the singers who,$PL,The man mocked the fan of the singers who,0.04930040313262
20,English,Rohde,high,NP1,1,mocked,pl,the fans,the singer,fans,singer,The man mocked the fans of the singer who MASKTOKEN continually stage diving and getting hurt.,The man mocked the fans of the singer who,$PL,The man mocked the fans of the singer who,0.047947219427325
20,English,Rohde,high,NP1,0,counted,sg,the fan,the singers,fan,singers,The man counted the fan of the singers who MASKTOKEN continually stage diving and getting hurt.,The man counted the fan of the singers who,$SG,The man counted the fan of the singers who,0.054397873098146
20,English,Rohde,low,NP2,0,counted,sg,the fans,the singer,fans,singer,The man counted the fans of the singer who MASKTOKEN continually stage diving and getting hurt.,The man counted the fans of the singer who,$SG,The man counted the fans of the singer who,0.133832905907668
20,English,Rohde,low,NP2,0,counted,pl,the fan,the singers,fan,singers,The man counted the fan of the singers who MASKTOKEN continually stage diving and getting hurt.,The man counted the fan of the singers who,$PL,The man counted the fan of the singers who,0.218341439667594
20,English,Rohde,high,NP1,0,counted,pl,the fans,the singer,fans,singer,The man counted the fans of the singer who MASKTOKEN continually stage diving and getting hurt.,The man counted the fans of the singer who,$PL,The man counted the fans of the singer who,0.119510464619701
