idx,sing,plur,freq
_,abandons,abandon,_
_,abates,abate,_
_,abbreviates,abbreviate,_
_,abdicates,abdicate,_
_,abducts,abduct,_
_,abhors,abhor,_
_,abides,abide,_
_,abolishes,abolish,_
_,aborts,abort,_
_,abounds,abound,_
_,abridges,abridge,_
_,absconds,abscond,_
_,absolves,absolve,_
_,absorbs,absorb,_
_,abstains,abstain,_
_,abstracts,abstract,_
_,abuses,abuse,_
_,accedes,accede,_
_,accelerates,accelerate,_
_,accents,accent,_
_,accentuates,accentuate,_
_,accepts,accept,_
_,accesses,access,_
_,accessorizes,accessorize,_
_,acclaims,acclaim,_
_,acclimates,acclimate,_
_,acclimatizes,acclimatize,_
_,accommodates,accommodate,_
_,accomodates,accomodate,_
_,accompanies,accompany,_
_,accomplishes,accomplish,_
_,accords,accord,_
_,accosts,accost,_
_,accounts,account,_
_,accredits,accredit,_
_,accrues,accrue,_
_,acculturates,acculturate,_
_,accumulates,accumulate,_
_,accuses,accuse,_
_,accustoms,accustom,_
_,acerbates,acerbate,_
_,aches,ache,_
_,achieves,achieve,_
_,acidifies,acidify,_
_,acknowledges,acknowledge,_
_,acquaints,acquaint,_
_,acquiesces,acquiesce,_
_,acquires,acquire,_
_,acquits,acquit,_
_,activates,activate,_
_,acts,act,_
_,actualizes,actualize,_
_,adapts,adapt,_
_,addresses,address,_
_,adds,add,_
_,adheres,adhere,_
_,adjoins,adjoin,_
_,adjourns,adjourn,_
_,adjudicates,adjudicate,_
_,adjusts,adjust,_
_,administers,administer,_
_,administrates,administrate,_
_,admires,admire,_
_,admits,admit,_
_,admonishes,admonish,_
_,adopts,adopt,_
_,adores,adore,_
_,adorns,adorn,_
_,adsorbs,adsorb,_
_,adulates,adulate,_
_,advances,advance,_
_,advantages,advantage,_
_,advertises,advertise,_
_,advises,advise,_
_,advocates,advocate,_
_,affects,affect,_
_,affiliates,affiliate,_
_,affirms,affirm,_
_,affixes,affix,_
_,afflicts,afflict,_
_,affords,afford,_
_,affronts,affront,_
_,ages,age,_
_,aggravates,aggravate,_
_,aggregates,aggregate,_
_,aggrieves,aggrieve,_
_,agitates,agitate,_
_,agonizes,agonize,_
_,agrees,agree,_
_,aids,aid,_
_,ails,ail,_
_,aims,aim,_
_,airbrushes,airbrush,_
_,airdrops,airdrop,_
_,airlifts,airlift,_
_,airmails,airmail,_
_,airs,air,_
_,alarms,alarm,_
_,alerts,alert,_
_,alienates,alienate,_
_,aligns,align,_
_,allays,allay,_
_,alleges,allege,_
_,alleviates,alleviate,_
_,allies,ally,_
_,allocates,allocate,_
_,allots,allot,_
_,alloweds,allowed,_
_,allows,allow,_
_,alludes,allude,_
_,allures,allure,_
_,alphabetizes,alphabetize,_
_,alternates,alternate,_
_,alters,alter,_
_,amalgamates,amalgamate,_
_,amasses,amass,_
_,amazes,amaze,_
_,ambles,amble,_
_,ambushes,ambush,_
_,amends,amend,_
_,amortizes,amortize,_
_,amounts,amount,_
_,amplifies,amplify,_
_,amputates,amputate,_
_,amuses,amuse,_
_,analogizes,analogize,_
_,analyzes,analyze,_
_,anchors,anchor,_
_,anesthetizes,anesthetize,_
_,angers,anger,_
_,anguishes,anguish,_
_,animates,animate,_
_,annexes,annex,_
_,annihilates,annihilate,_
_,annotates,annotate,_
_,announces,announce,_
_,annoys,annoy,_
_,annualizes,annualize,_
_,annuls,annul,_
_,annunciates,annunciate,_
_,anoints,anoint,_
_,answers,answer,_
_,antagonizes,antagonize,_
_,anticipates,anticipate,_
_,antiquates,antiquate,_
_,apologizes,apologize,_
_,appalls,appall,_
_,appeals,appeal,_
_,appears,appear,_
_,appeases,appease,_
_,appends,append,_
_,appertains,appertain,_
_,applauds,applaud,_
_,applies,apply,_
_,appoints,appoint,_
_,appraises,appraise,_
_,appreciates,appreciate,_
_,apprehends,apprehend,_
_,apprentices,apprentice,_
_,apprises,apprise,_
_,approaches,approach,_
_,appropriates,appropriate,_
_,approves,approve,_
_,approximates,approximate,_
_,arbitrages,arbitrage,_
_,arbitrates,arbitrate,_
_,archives,archive,_
_,argues,argue,_
_,arises,arise,_
_,armors,armor,_
_,arms,arm,_
_,aromatizes,aromatize,_
_,arouses,arouse,_
_,arraigns,arraign,_
_,arranges,arrange,_
_,arrests,arrest,_
_,arrives,arrive,_
_,articulates,articulate,_
_,ascends,ascend,_
_,ascertains,ascertain,_
_,ascribes,ascribe,_
_,asks,ask,_
_,aspirates,aspirate,_
_,aspires,aspire,_
_,assails,assail,_
_,assassinates,assassinate,_
_,assaults,assault,_
_,assays,assay,_
_,assembles,assemble,_
_,assents,assent,_
_,asserts,assert,_
_,assesses,assess,_
_,assigns,assign,_
_,assimilates,assimilate,_
_,assists,assist,_
_,associates,associate,_
_,assorts,assort,_
_,assuages,assuage,_
_,assumes,assume,_
_,assures,assure,_
_,astonishes,astonish,_
_,astounds,astound,_
_,atones,atone,_
_,attaches,attach,_
_,attacks,attack,_
_,attains,attain,_
_,attempts,attempt,_
_,attends,attend,_
_,attentions,attention,_
_,attests,attest,_
_,attracts,attract,_
_,attributes,attribute,_
_,auctions,auction,_
_,auditions,audition,_
_,audits,audit,_
_,augments,augment,_
_,authenticates,authenticate,_
_,authorizes,authorize,_
_,authors,author,_
_,autographs,autograph,_
_,automates,automate,_
_,avails,avail,_
_,avalanches,avalanche,_
_,avenges,avenge,_
_,averages,average,_
_,averts,avert,_
_,aviates,aviate,_
_,avoids,avoid,_
_,avows,avow,_
_,awaits,await,_
_,awakens,awaken,_
_,awakes,awake,_
_,awards,award,_
_,axes,ax,_
_,babbles,babble,_
_,babies,baby,_
_,backdates,backdate,_
_,backfires,backfire,_
_,backhands,backhand,_
_,backpacks,backpack,_
_,backpedals,backpedal,_
_,backs,back,_
_,backspaces,backspace,_
_,backtracks,backtrack,_
_,backwashes,backwash,_
_,badgers,badger,_
_,badmouths,badmouth,_
_,baffles,baffle,_
_,bags,bag,_
_,bails,bail,_
_,baits,bait,_
_,bakes,bake,_
_,balances,balance,_
_,bales,bale,_
_,balks,balk,_
_,balloons,balloon,_
_,ballyhooes,ballyhoo,_
_,bamboozles,bamboozle,_
_,bandages,bandage,_
_,bands,band,_
_,bangs,bang,_
_,banishes,banish,_
_,bankrolls,bankroll,_
_,bankrupts,bankrupt,_
_,banks,bank,_
_,bans,ban,_
_,banters,banter,_
_,baptizes,baptize,_
_,barbarizes,barbarize,_
_,barbecues,barbecue,_
_,bares,bare,_
_,bargains,bargain,_
_,barges,barge,_
_,barks,bark,_
_,barnstorms,barnstorm,_
_,barrages,barrage,_
_,barricades,barricade,_
_,bars,bar,_
_,barters,barter,_
_,bases,base,_
_,bashes,bash,_
_,basks,bask,_
_,bastes,baste,_
_,batches,batch,_
_,baths,bath,_
_,bats,bat,_
_,batters,batter,_
_,battles,battle,_
_,bawls,bawl,_
_,beaches,beach,_
_,beams,beam,_
_,bears,bear,_
_,beats,beat,_
_,beautifies,beautify,_
_,beckons,beckon,_
_,becomes,become,_
_,bedazzles,bedazzle,_
_,bedevils,bedevil,_
_,beefs,beef,_
_,beeps,beep,_
_,befriends,befriend,_
_,befuddles,befuddle,_
_,begins,begin,_
_,begrudges,begrudge,_
_,begs,beg,_
_,beguiles,beguile,_
_,behaves,behave,_
_,beholds,behold,_
_,behooves,behoove,_
_,belabors,belabor,_
_,belches,belch,_
_,beleaguers,beleaguer,_
_,belies,belie,_
_,believes,believe,_
_,belittles,belittle,_
_,bellows,bellow,_
_,belongs,belong,_
_,belts,belt,_
_,bemoans,bemoan,_
_,bemuses,bemuse,_
_,bends,bend,_
_,benefits,benefit,_
_,bequeaths,bequeath,_
_,berates,berate,_
_,bereaves,bereave,_
_,besets,beset,_
_,besieges,besiege,_
_,bestows,bestow,_
_,betrays,betray,_
_,bets,bet,_
_,betters,better,_
_,bewilders,bewilder,_
_,bewitches,bewitch,_
_,bides,bide,_
_,bids,bid,_
_,billows,billow,_
_,bills,bill,_
_,binds,bind,_
_,bites,bite,_
_,blabs,blab,_
_,blackens,blacken,_
_,blacklists,blacklist,_
_,blackmails,blackmail,_
_,blames,blame,_
_,blasts,blast,_
_,blazes,blaze,_
_,bleaches,bleach,_
_,bleeds,bleed,_
_,blends,blend,_
_,blesses,bless,_
_,blindfolds,blindfold,_
_,blinds,blind,_
_,blinks,blink,_
_,blisters,blister,_
_,bloats,bloat,_
_,blocks,block,_
_,bloodies,bloody,_
_,blooms,bloom,_
_,blossoms,blossom,_
_,blots,blot,_
_,blows,blow,_
_,blunders,blunder,_
_,blunts,blunt,_
_,blurs,blur,_
_,blurts,blurt,_
_,blushes,blush,_
_,boards,board,_
_,boasts,boast,_
_,bobs,bob,_
_,bodes,bode,_
_,bogs,bog,_
_,boils,boil,_
_,bolsters,bolster,_
_,bolts,bolt,_
_,bombards,bombard,_
_,bombs,bomb,_
_,bonds,bond,_
_,books,book,_
_,booms,boom,_
_,boosts,boost,_
_,boots,boot,_
_,borders,border,_
_,bores,bore,_
_,borrows,borrow,_
_,bothers,bother,_
_,bottles,bottle,_
_,bounces,bounce,_
_,bounds,bound,_
_,bowls,bowl,_
_,bows,bow,_
_,boxes,box,_
_,boycotts,boycott,_
_,braces,brace,_
_,brags,brag,_
_,braids,braid,_
_,brakes,brake,_
_,branches,branch,_
_,brands,brand,_
_,braves,brave,_
_,brazens,brazen,_
_,breaches,breach,_
_,breakfasts,breakfast,_
_,breaks,break,_
_,breathes,breathe,_
_,breeds,breed,_
_,brews,brew,_
_,bribes,bribe,_
_,bridges,bridge,_
_,briefs,brief,_
_,brightens,brighten,_
_,brings,bring,_
_,bristles,bristle,_
_,broaches,broach,_
_,broadcasts,broadcast,_
_,broadens,broaden,_
_,bronzes,bronze,_
_,broods,brood,_
_,browbeats,browbeat,_
_,bruises,bruise,_
_,brushes,brush,_
_,bubbles,bubble,_
_,buckles,buckle,_
_,bucks,buck,_
_,budges,budge,_
_,budgets,budget,_
_,buffers,buffer,_
_,buffets,buffet,_
_,bugs,bug,_
_,builds,build,_
_,bulges,bulge,_
_,bullies,bully,_
_,bumbles,bumble,_
_,bumps,bump,_
_,bunches,bunch,_
_,bundles,bundle,_
_,buoys,buoy,_
_,burdens,burden,_
_,burgles,burgle,_
_,buries,bury,_
_,burns,burn,_
_,burps,burp,_
_,burrows,burrow,_
_,bursts,burst,_
_,buses,bus,_
_,busies,busy,_
_,bustles,bustle,_
_,busts,bust,_
_,butchers,butcher,_
_,butters,butter,_
_,buttons,button,_
_,buttresses,buttress,_
_,butts,butt,_
_,buy-backs,buy-back,_
_,buys,buy,_
_,buzzes,buzz,_
_,bypasses,bypass,_
_,cackles,cackle,_
_,cages,cage,_
_,cajoles,cajole,_
_,cakes,cake,_
_,calculates,calculate,_
_,calibrates,calibrate,_
_,calls,call,_
_,calms,calm,_
_,camouflages,camouflage,_
_,campaigns,campaign,_
_,camps,camp,_
_,cancels,cancel,_
_,cans,can,_
_,canvasses,canvass,_
_,capitalizes,capitalize,_
_,capitulates,capitulate,_
_,caps,cap,_
_,capsizes,capsize,_
_,captains,captain,_
_,captivates,captivate,_
_,captures,capture,_
_,careens,careen,_
_,cares,care,_
_,caresses,caress,_
_,caricatures,caricature,_
_,carpets,carpet,_
_,carries,carry,_
_,carts,cart,_
_,carves,carve,_
_,cascades,cascade,_
_,cashes,cash,_
_,castigates,castigate,_
_,casts,cast,_
_,catalogs,catalog,_
_,catapults,catapult,_
_,catches,catch,_
_,categorizes,categorize,_
_,caters,cater,_
_,causes,cause,_
_,cautions,caution,_
_,caves,cave,_
_,ceases,cease,_
_,cedes,cede,_
_,celebrates,celebrate,_
_,cements,cement,_
_,censors,censor,_
_,censures,censure,_
_,centers,center,_
_,centralizes,centralize,_
_,certifies,certify,_
_,chains,chain,_
_,chairs,chair,_
_,challenges,challenge,_
_,champions,champion,_
_,chances,chance,_
_,changes,change,_
_,channels,channel,_
_,chants,chant,_
_,characterizes,characterize,_
_,charges,charge,_
_,charms,charm,_
_,chars,char,_
_,charters,charter,_
_,charts,chart,_
_,chases,chase,_
_,chastens,chasten,_
_,chats,chat,_
_,chatters,chatter,_
_,chauffeurs,chauffeur,_
_,cheats,cheat,_
_,checks,check,_
_,cheers,cheer,_
_,cherishes,cherish,_
_,chews,chew,_
_,chides,chide,_
_,chills,chill,_
_,chimes,chime,_
_,chips,chip,_
_,chirps,chirp,_
_,chisels,chisel,_
_,chokes,choke,_
_,chooses,choose,_
_,chops,chop,_
_,choreographs,choreograph,_
_,christens,christen,_
_,chronicles,chronicle,_
_,chuckles,chuckle,_
_,chucks,chuck,_
_,churns,churn,_
_,cinches,cinch,_
_,circles,circle,_
_,circulates,circulate,_
_,circumscribes,circumscribe,_
_,circumvents,circumvent,_
_,cites,cite,_
_,civilizes,civilize,_
_,claims,claim,_
_,clambers,clamber,_
_,clamps,clamp,_
_,claps,clap,_
_,clarifies,clarify,_
_,clashes,clash,_
_,clasps,clasp,_
_,classifies,classify,_
_,clatters,clatter,_
_,claws,claw,_
_,cleans,clean,_
_,cleanses,cleanse,_
_,clears,clear,_
_,clenches,clench,_
_,clicks,click,_
_,climbs,climb,_
_,clinches,clinch,_
_,clings,cling,_
_,clips,clip,_
_,cloaks,cloak,_
_,clobbers,clobber,_
_,clocks,clock,_
_,clogs,clog,_
_,clones,clone,_
_,closes,close,_
_,cloths,cloth,_
_,clouds,cloud,_
_,clubs,club,_
_,clusters,cluster,_
_,clutches,clutch,_
_,clutters,clutter,_
_,co-exists,co-exist,_
_,co-hosts,co-host,_
_,co-produces,co-produce,_
_,co-sponsors,co-sponsor,_
_,coaches,coach,_
_,coats,coat,_
_,coaxes,coax,_
_,cobbles,cobble,_
_,cocks,cock,_
_,codes,code,_
_,codifies,codify,_
_,coerces,coerce,_
_,coheres,cohere,_
_,coils,coil,_
_,coincides,coincide,_
_,coins,coin,_
_,collaborates,collaborate,_
_,collapses,collapse,_
_,collates,collate,_
_,collects,collect,_
_,collides,collide,_
_,colonizes,colonize,_
_,colors,color,_
_,combats,combat,_
_,combines,combine,_
_,combs,comb,_
_,comes,come,_
_,comforts,comfort,_
_,commandeers,commandeer,_
_,commands,command,_
_,commemorates,commemorate,_
_,commences,commence,_
_,commends,commend,_
_,comments,comment,_
_,commercializes,commercialize,_
_,commissions,commission,_
_,commits,commit,_
_,communicates,communicate,_
_,commutes,commute,_
_,compacts,compact,_
_,compares,compare,_
_,compels,compel,_
_,compensates,compensate,_
_,competes,compete,_
_,compiles,compile,_
_,complains,complain,_
_,complements,complement,_
_,completes,complete,_
_,complicates,complicate,_
_,complies,comply,_
_,compliments,compliment,_
_,composes,compose,_
_,compounds,compound,_
_,comprehends,comprehend,_
_,compresses,compress,_
_,comprises,comprise,_
_,compromises,compromise,_
_,computerizes,computerize,_
_,computes,compute,_
_,conceals,conceal,_
_,concedes,concede,_
_,conceives,conceive,_
_,concentrates,concentrate,_
_,conceptualizes,conceptualize,_
_,concerns,concern,_
_,concerts,concert,_
_,concludes,conclude,_
_,concocts,concoct,_
_,concurs,concur,_
_,condemns,condemn,_
_,condenses,condense,_
_,conditions,condition,_
_,condones,condone,_
_,conducts,conduct,_
_,confers,confer,_
_,confesses,confess,_
_,confides,confide,_
_,configures,configure,_
_,confines,confine,_
_,confirms,confirm,_
_,confiscates,confiscate,_
_,conflicts,conflict,_
_,conforms,conform,_
_,confounds,confound,_
_,confronts,confront,_
_,confuses,confuse,_
_,congratulates,congratulate,_
_,congregates,congregate,_
_,conjures,conjure,_
_,connects,connect,_
_,connotes,connote,_
_,conquers,conquer,_
_,cons,con,_
_,consecrates,consecrate,_
_,consents,consent,_
_,conserves,conserve,_
_,considers,consider,_
_,consigns,consign,_
_,consists,consist,_
_,consoles,console,_
_,consolidates,consolidate,_
_,conspires,conspire,_
_,constitutes,constitute,_
_,constrains,constrain,_
_,constricts,constrict,_
_,constructs,construct,_
_,construes,construe,_
_,consults,consult,_
_,consumes,consume,_
_,contacts,contact,_
_,contains,contain,_
_,contaminates,contaminate,_
_,contemplates,contemplate,_
_,contemporizes,contemporize,_
_,contends,contend,_
_,contents,content,_
_,contests,contest,_
_,continues,continue,_
_,contorts,contort,_
_,contracts,contract,_
_,contradicts,contradict,_
_,contrasts,contrast,_
_,contravenes,contravene,_
_,contributes,contribute,_
_,contrives,contrive,_
_,controls,control,_
_,convenes,convene,_
_,converges,converge,_
_,converses,converse,_
_,converts,convert,_
_,conveys,convey,_
_,convicts,convict,_
_,convinces,convince,_
_,cooks,cook,_
_,cools,cool,_
_,cooperates,cooperate,_
_,coordinates,coordinate,_
_,copes,cope,_
_,copies,copy,_
_,copyrights,copyright,_
_,corners,corner,_
_,corrals,corral,_
_,corrects,correct,_
_,correlates,correlate,_
_,corresponds,correspond,_
_,corroborates,corroborate,_
_,corrupts,corrupt,_
_,costs,cost,_
_,couches,couch,_
_,coughs,cough,_
_,counsels,counsel,_
_,countenances,countenance,_
_,counteracts,counteract,_
_,counterbalances,counterbalance,_
_,counterprograms,counterprogram,_
_,counters,counter,_
_,counts,count,_
_,courts,court,_
_,covers,cover,_
_,covets,covet,_
_,crackles,crackle,_
_,cracks,crack,_
_,cradles,cradle,_
_,crafts,craft,_
_,cramps,cramp,_
_,crams,cram,_
_,cranes,crane,_
_,cranks,crank,_
_,crashes,crash,_
_,craves,crave,_
_,crawls,crawl,_
_,creaks,creak,_
_,creases,crease,_
_,creates,create,_
_,credits,credit,_
_,creeps,creep,_
_,cremates,cremate,_
_,crests,crest,_
_,cries,cry,_
_,criminalizes,criminalize,_
_,crimps,crimp,_
_,cringes,cringe,_
_,cripples,cripple,_
_,criticizes,criticize,_
_,critiques,critique,_
_,croaks,croak,_
_,crops,crop,_
_,cross-examines,cross-examine,_
_,crosses,cross,_
_,crouches,crouch,_
_,crowds,crowd,_
_,crowns,crown,_
_,crows,crow,_
_,cruises,cruise,_
_,crumbles,crumble,_
_,crumples,crumple,_
_,crunches,crunch,_
_,crushes,crush,_
_,crystallizes,crystallize,_
_,cuddles,cuddle,_
_,cuffs,cuff,_
_,culls,cull,_
_,culminates,culminate,_
_,cultivates,cultivate,_
_,cups,cup,_
_,curbs,curb,_
_,cures,cure,_
_,curls,curl,_
_,curries,curry,_
_,curses,curse,_
_,curtails,curtail,_
_,curves,curve,_
_,cushions,cushion,_
_,customizes,customize,_
_,cuts,cut,_
_,cycles,cycle,_
_,dabbles,dabble,_
_,dabs,dab,_
_,damages,damage,_
_,dampens,dampen,_
_,damps,damp,_
_,dances,dance,_
_,dangles,dangle,_
_,dares,dare,_
_,darkens,darken,_
_,darts,dart,_
_,dashes,dash,_
_,dates,date,_
_,dawns,dawn,_
_,dazes,daze,_
_,dazzles,dazzle,_
_,deadlocks,deadlock,_
_,deals,deal,_
_,debates,debate,_
_,debits,debit,_
_,debunks,debunk,_
_,debuts,debut,_
_,decays,decay,_
_,deceives,deceive,_
_,decentralizes,decentralize,_
_,decides,decide,_
_,decimates,decimate,_
_,deciphers,decipher,_
_,decks,deck,_
_,declares,declare,_
_,declines,decline,_
_,decomposes,decompose,_
_,decorates,decorate,_
_,decreases,decrease,_
_,decrees,decree,_
_,dedicates,dedicate,_
_,deduces,deduce,_
_,deducts,deduct,_
_,deeds,deed,_
_,deems,deem,_
_,deepens,deepen,_
_,defaces,deface,_
_,defaults,default,_
_,defeats,defeat,_
_,defects,defect,_
_,defends,defend,_
_,defers,defer,_
_,defies,defy,_
_,defines,define,_
_,deflates,deflate,_
_,deflects,deflect,_
_,deforms,deform,_
_,defrauds,defraud,_
_,defrays,defray,_
_,defuses,defuse,_
_,degenerates,degenerate,_
_,degrades,degrade,_
_,dehydrates,dehydrate,_
_,delays,delay,_
_,delegates,delegate,_
_,deletes,delete,_
_,deliberates,deliberate,_
_,delights,delight,_
_,delineates,delineate,_
_,delivers,deliver,_
_,deludes,delude,_
_,delves,delve,_
_,demands,demand,_
_,demilitarizes,demilitarize,_
_,demobilizes,demobilize,_
_,democratizes,democratize,_
