item,exp,contrast,top,middle,bottom,N1,N2,N3,N1_gender,N2_gender,N3_gender,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_surp,/data/roberta-base_surp
1,1,Match_Match_Match,Match,Match,Match,boy,dad,actor,m,m,m,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actor would probably blame,him,the boy told the dad that the actor would probably blame MASKTOKEN for the recent injury.,0.23686295747756958,1.1612728834152222
1,1,Match_Match_Mismatch,Match,Match,Mismatch,boy,dad,actress,m,m,m,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the dad that the actress would probably blame,him,the boy told the dad that the actress would probably blame MASKTOKEN for the recent injury.,0.08965639770030975,0.3823877274990082
1,1,Match_Mismatch_Match,Match,Mismatch,Match,boy,mom,actor,m,f,f,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actor would probably blame,him,the boy told the mom that the actor would probably blame MASKTOKEN for the recent injury.,0.6943358778953552,2.447089195251465
1,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,boy,mom,actress,m,f,f,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the boy told the mom that the actress would probably blame,him,the boy told the mom that the actress would probably blame MASKTOKEN for the recent injury.,0.20018965005874634,0.6891710162162781
1,1,Mismatch_Match_Match,Mismatch,Match,Match,girl,dad,actor,f,m,m,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actor would probably blame,him,the girl told the dad that the actor would probably blame MASKTOKEN for the recent injury.,3.015048027038574,3.6889312267303467
1,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,girl,dad,actress,f,m,m,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the dad that the actress would probably blame,him,the girl told the dad that the actress would probably blame MASKTOKEN for the recent injury.,1.5449234247207642,1.0256608724594116
1,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,girl,mom,actor,f,f,f,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actor would probably blame,him,the girl told the mom that the actor would probably blame MASKTOKEN for the recent injury.,5.758159637451172,5.626157283782959
1,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,girl,mom,actress,f,f,f,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,the girl told the mom that the actress would probably blame,him,the girl told the mom that the actress would probably blame MASKTOKEN for the recent injury.,5.761728763580322,3.48831844329834
2,1,Match_Match_Match,Match,Match,Match,man,wizard,nephew,m,m,m,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the man told the wizard that the nephew would protect,him,the man told the wizard that the nephew would protect MASKTOKEN if it became necessary.,0.29092979431152344,0.2537498474121094
2,1,Match_Match_Mismatch,Match,Match,Mismatch,man,wizard,niece,m,m,m,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,the man told the wizard that the niece would protect,him,the man told the wizard that the niece would protect MASKTOKEN if it became necessary.,0.5397846698760986,0.3145323693752289
2,1,Match_Mismatch_Match,Match,Mismatch,Match,man,witch,nephew,m,f,f,the man told the witch that the nephew would protect MASKTOKEN if it became necessary.,the man told the witch that the nephew would protect,him,the man told the witch that the nephew would protect MASKTOKEN if it became necessary.,1.5436372756958008,1.8261196613311768
2,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,man,witch,niece,m,f,f,the man told the witch that the niece would protect MASKTOKEN if it became necessary.,the man told the witch that the niece would protect,him,the man told the witch that the niece would protect MASKTOKEN if it became necessary.,1.3765369653701782,0.7687097191810608
2,1,Mismatch_Match_Match,Mismatch,Match,Match,woman,wizard,nephew,f,m,m,the woman told the wizard that the nephew would protect MASKTOKEN if it became necessary.,the woman told the wizard that the nephew would protect,him,the woman told the wizard that the nephew would protect MASKTOKEN if it became necessary.,1.3461592197418213,3.576105833053589
2,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,woman,wizard,niece,f,m,m,the woman told the wizard that the niece would protect MASKTOKEN if it became necessary.,the woman told the wizard that the niece would protect,him,the woman told the wizard that the niece would protect MASKTOKEN if it became necessary.,1.2630678415298462,1.4693516492843628
2,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,woman,witch,nephew,f,f,f,the woman told the witch that the nephew would protect MASKTOKEN if it became necessary.,the woman told the witch that the nephew would protect,him,the woman told the witch that the nephew would protect MASKTOKEN if it became necessary.,2.9750125408172607,5.051684856414795
2,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,woman,witch,niece,f,f,f,the woman told the witch that the niece would protect MASKTOKEN if it became necessary.,the woman told the witch that the niece would protect,him,the woman told the witch that the niece would protect MASKTOKEN if it became necessary.,6.888302803039551,4.257218360900879
3,1,Match_Match_Match,Match,Match,Match,doctor,lord,uncle,m,m,m,the doctor told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the doctor told the lord that the uncle would teach,him,the doctor told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,0.42252498865127563,0.397945761680603
3,1,Match_Match_Mismatch,Match,Match,Mismatch,doctor,lord,aunt,m,m,m,the doctor told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the doctor told the lord that the aunt would teach,him,the doctor told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,0.4684371054172516,0.5942795872688293
3,1,Match_Mismatch_Match,Match,Mismatch,Match,doctor,lady,uncle,m,f,f,the doctor told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the doctor told the lady that the uncle would teach,him,the doctor told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,4.860410690307617,3.6980514526367188
3,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,doctor,lady,aunt,m,f,f,the doctor told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the doctor told the lady that the aunt would teach,him,the doctor told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,4.021973609924316,3.032970666885376
3,1,Mismatch_Match_Match,Mismatch,Match,Match,nurse,lord,uncle,f,m,m,the nurse told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the uncle would teach,him,the nurse told the lord that the uncle would teach MASKTOKEN how to drive this weekend.,3.245290994644165,1.3245030641555786
3,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,nurse,lord,aunt,f,m,m,the nurse told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lord that the aunt would teach,him,the nurse told the lord that the aunt would teach MASKTOKEN how to drive this weekend.,1.564323902130127,0.6216979622840881
3,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,nurse,lady,uncle,f,f,f,the nurse told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the uncle would teach,him,the nurse told the lady that the uncle would teach MASKTOKEN how to drive this weekend.,6.25227165222168,4.708004951477051
3,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,nurse,lady,aunt,f,f,f,the nurse told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,the nurse told the lady that the aunt would teach,him,the nurse told the lady that the aunt would teach MASKTOKEN how to drive this weekend.,6.363397121429443,4.5335693359375
4,1,Match_Match_Match,Match,Match,Match,actor,god,father,m,m,m,the actor told the god that the father would buy MASKTOKEN the tickets to the performance.,the actor told the god that the father would buy,him,the actor told the god that the father would buy MASKTOKEN the tickets to the performance.,0.8840615749359131,1.6169840097427368
4,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,god,mother,m,m,m,the actor told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the god that the mother would buy,him,the actor told the god that the mother would buy MASKTOKEN the tickets to the performance.,0.6893932819366455,1.0192341804504395
4,1,Match_Mismatch_Match,Match,Mismatch,Match,actor,goddess,father,m,f,f,the actor told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the father would buy,him,the actor told the goddess that the father would buy MASKTOKEN the tickets to the performance.,1.592134714126587,3.764422655105591
4,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,actor,goddess,mother,m,f,f,the actor told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actor told the goddess that the mother would buy,him,the actor told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,1.0561518669128418,1.4080888032913208
4,1,Mismatch_Match_Match,Mismatch,Match,Match,actress,god,father,f,m,m,the actress told the god that the father would buy MASKTOKEN the tickets to the performance.,the actress told the god that the father would buy,him,the actress told the god that the father would buy MASKTOKEN the tickets to the performance.,6.044069290161133,3.8241539001464844
4,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,actress,god,mother,f,m,m,the actress told the god that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the god that the mother would buy,him,the actress told the god that the mother would buy MASKTOKEN the tickets to the performance.,4.598771095275879,2.516725540161133
4,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,actress,goddess,father,f,f,f,the actress told the goddess that the father would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the father would buy,him,the actress told the goddess that the father would buy MASKTOKEN the tickets to the performance.,6.9353814125061035,7.957571029663086
4,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,actress,goddess,mother,f,f,f,the actress told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,the actress told the goddess that the mother would buy,him,the actress told the goddess that the mother would buy MASKTOKEN the tickets to the performance.,6.683452129364014,5.999394416809082
5,1,Match_Match_Match,Match,Match,Match,prince,hero,groom,m,m,m,the prince told the hero that the groom might introduce MASKTOKEN to the French count.,the prince told the hero that the groom might introduce,him,the prince told the hero that the groom might introduce MASKTOKEN to the French count.,0.6452103853225708,0.44270992279052734
5,1,Match_Match_Mismatch,Match,Match,Mismatch,prince,hero,bride,m,m,m,the prince told the hero that the bride might introduce MASKTOKEN to the French count.,the prince told the hero that the bride might introduce,him,the prince told the hero that the bride might introduce MASKTOKEN to the French count.,0.699127197265625,0.13074006140232086
5,1,Match_Mismatch_Match,Match,Mismatch,Match,prince,heroine,groom,m,f,f,the prince told the heroine that the groom might introduce MASKTOKEN to the French count.,the prince told the heroine that the groom might introduce,him,the prince told the heroine that the groom might introduce MASKTOKEN to the French count.,3.772308588027954,5.095500469207764
5,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,prince,heroine,bride,m,f,f,the prince told the heroine that the bride might introduce MASKTOKEN to the French count.,the prince told the heroine that the bride might introduce,him,the prince told the heroine that the bride might introduce MASKTOKEN to the French count.,2.5472729206085205,0.29221054911613464
5,1,Mismatch_Match_Match,Mismatch,Match,Match,princess,hero,groom,f,m,m,the princess told the hero that the groom might introduce MASKTOKEN to the French count.,the princess told the hero that the groom might introduce,him,the princess told the hero that the groom might introduce MASKTOKEN to the French count.,2.6541171073913574,3.2009732723236084
5,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,princess,hero,bride,f,m,m,the princess told the hero that the bride might introduce MASKTOKEN to the French count.,the princess told the hero that the bride might introduce,him,the princess told the hero that the bride might introduce MASKTOKEN to the French count.,1.6121575832366943,0.19161230325698853
5,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,princess,heroine,groom,f,f,f,the princess told the heroine that the groom might introduce MASKTOKEN to the French count.,the princess told the heroine that the groom might introduce,him,the princess told the heroine that the groom might introduce MASKTOKEN to the French count.,5.340442657470703,7.13205623626709
5,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,princess,heroine,bride,f,f,f,the princess told the heroine that the bride might introduce MASKTOKEN to the French count.,the princess told the heroine that the bride might introduce,him,the princess told the heroine that the bride might introduce MASKTOKEN to the French count.,4.7571702003479,1.929185390472412
6,1,Match_Match_Match,Match,Match,Match,lord,master,priest,m,m,m,the lord told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the priest might introduce,him,the lord told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,0.08062579482793808,0.38891318440437317
6,1,Match_Match_Mismatch,Match,Match,Mismatch,lord,master,nun,m,m,m,the lord told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the master that the nun might introduce,him,the lord told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,0.10407096892595291,0.23184548318386078
6,1,Match_Mismatch_Match,Match,Mismatch,Match,lord,mistress,priest,m,f,f,the lord told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the priest might introduce,him,the lord told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,3.9404609203338623,4.225557327270508
6,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,lord,mistress,nun,m,f,f,the lord told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lord told the mistress that the nun might introduce,him,the lord told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,2.3231217861175537,2.0822086334228516
6,1,Mismatch_Match_Match,Mismatch,Match,Match,lady,master,priest,f,m,m,the lady told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the priest might introduce,him,the lady told the master that the priest might introduce MASKTOKEN to the beautiful movie star.,2.4864723682403564,1.8506437540054321
6,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,lady,master,nun,f,m,m,the lady told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the master that the nun might introduce,him,the lady told the master that the nun might introduce MASKTOKEN to the beautiful movie star.,1.01050865650177,0.5730020999908447
6,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,lady,mistress,priest,f,f,f,the lady told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the priest might introduce,him,the lady told the mistress that the priest might introduce MASKTOKEN to the beautiful movie star.,7.914496421813965,3.9699854850769043
6,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,lady,mistress,nun,f,f,f,the lady told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,the lady told the mistress that the nun might introduce,him,the lady told the mistress that the nun might introduce MASKTOKEN to the beautiful movie star.,7.719039440155029,3.5092647075653076
7,1,Match_Match_Match,Match,Match,Match,king,policeman,driver,m,m,m,the king told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the driver would not forgive,him,the king told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,0.5154317617416382,0.2747378647327423
7,1,Match_Match_Mismatch,Match,Match,Mismatch,king,policeman,maid,m,m,m,the king told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the policeman that the maid would not forgive,him,the king told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,0.4332764744758606,0.16518211364746094
7,1,Match_Mismatch_Match,Match,Mismatch,Match,king,police woman,driver,m,f,f,the king told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the driver would not forgive,him,the king told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,1.9575698375701904,0.7012832760810852
7,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,king,police woman,maid,m,f,f,the king told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the king told the police woman that the maid would not forgive,him,the king told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,1.2422711849212646,0.24662116169929504
7,1,Mismatch_Match_Match,Mismatch,Match,Match,queen,policeman,driver,f,m,m,the queen told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the driver would not forgive,him,the queen told the policeman that the driver would not forgive MASKTOKEN for last week's disaster.,1.6041980981826782,1.3984025716781616
7,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,queen,policeman,maid,f,m,m,the queen told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the policeman that the maid would not forgive,him,the queen told the policeman that the maid would not forgive MASKTOKEN for last week's disaster.,1.5902777910232544,0.8133293390274048
7,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,queen,police woman,driver,f,f,f,the queen told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the driver would not forgive,him,the queen told the police woman that the driver would not forgive MASKTOKEN for last week's disaster.,3.425062656402588,2.115278482437134
7,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,queen,police woman,maid,f,f,f,the queen told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,the queen told the police woman that the maid would not forgive,him,the queen told the police woman that the maid would not forgive MASKTOKEN for last week's disaster.,4.271411418914795,1.8919092416763306
8,1,Match_Match_Match,Match,Match,Match,waiter,priest,professor,m,m,m,the waiter told the priest that the professor would take care of MASKTOKEN during the holidays.,the waiter told the priest that the professor would take care of,him,the waiter told the priest that the professor would take care of MASKTOKEN during the holidays.,1.221399188041687,1.1764017343521118
8,1,Match_Match_Mismatch,Match,Match,Mismatch,waiter,priest,secretary,m,m,m,the waiter told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the priest that the secretary would take care of,him,the waiter told the priest that the secretary would take care of MASKTOKEN during the holidays.,0.7033431529998779,0.8832055330276489
8,1,Match_Mismatch_Match,Match,Mismatch,Match,waiter,nun,professor,m,f,f,the waiter told the nun that the professor would take care of MASKTOKEN during the holidays.,the waiter told the nun that the professor would take care of,him,the waiter told the nun that the professor would take care of MASKTOKEN during the holidays.,3.1121530532836914,6.140720367431641
8,1,Match_Mismatch_Mismatch,Match,Mismatch,Mismatch,waiter,nun,secretary,m,f,f,the waiter told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waiter told the nun that the secretary would take care of,him,the waiter told the nun that the secretary would take care of MASKTOKEN during the holidays.,2.2711093425750732,4.510393142700195
8,1,Mismatch_Match_Match,Mismatch,Match,Match,waitress,priest,professor,f,m,m,the waitress told the priest that the professor would take care of MASKTOKEN during the holidays.,the waitress told the priest that the professor would take care of,him,the waitress told the priest that the professor would take care of MASKTOKEN during the holidays.,2.890996217727661,1.576132893562317
8,1,Mismatch_Match_Mismatch,Mismatch,Match,Mismatch,waitress,priest,secretary,f,m,m,the waitress told the priest that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the priest that the secretary would take care of,him,the waitress told the priest that the secretary would take care of MASKTOKEN during the holidays.,2.407487392425537,0.9420620203018188
8,1,Mismatch_Mismatch_Match,Mismatch,Mismatch,Match,waitress,nun,professor,f,f,f,the waitress told the nun that the professor would take care of MASKTOKEN during the holidays.,the waitress told the nun that the professor would take care of,him,the waitress told the nun that the professor would take care of MASKTOKEN during the holidays.,5.009130477905273,6.954098224639893
8,1,Mismatch_Mismatch_Mismatch,Mismatch,Mismatch,Mismatch,waitress,nun,secretary,f,f,f,the waitress told the nun that the secretary would take care of MASKTOKEN during the holidays.,the waitress told the nun that the secretary would take care of,him,the waitress told the nun that the secretary would take care of MASKTOKEN during the holidays.,5.462350845336914,5.362648963928223
9,1,Match_Match_Match,Match,Match,Match,actor,hunter,brother,m,m,m,the actor told the hunter that the brother would protect MASKTOKEN from getting hurt.,the actor told the hunter that the brother would protect,him,the actor told the hunter that the brother would protect MASKTOKEN from getting hurt.,1.1506248712539673,0.5829854011535645
9,1,Match_Match_Mismatch,Match,Match,Mismatch,actor,hunter,sister,m,m,m,the actor told the hunter that the sister would protect MASKTOKEN from getting hurt.,the actor told the hunter that the sister would protect,him,the actor told the hunter that the sister would protect MASKTOKEN from getting hurt.,0.43253132700920105,0.6259375810623169
