item,exp,pronoun,cond,contrast,target_changed,mask_sents,auto_sents,target,sent,/data/bert-base-uncased_surp,/data/roberta-base_surp
1,1,he,m,Match,1,"When he was off work, the MASKTOKEN pestered the waitress all the time.","When he was off work, the",waiter,"When he was off work, the MASKTOKEN pestered the waitress all the time.",5.413071155548096,3.7878758907318115
1,1,she,m,Mismatch,1,"When she was off work, the MASKTOKEN pestered the waitress all the time.","When she was off work, the",waiter,"When she was off work, the MASKTOKEN pestered the waitress all the time.",5.529814720153809,6.31153678894043
1,1,she,f,Match,0,"When she was off work, the MASKTOKEN pestered the waiter all the time.","When she was off work, the",waitress,"When she was off work, the MASKTOKEN pestered the waiter all the time.",4.102619647979736,2.8571131229400635
1,1,he,f,Mismatch,0,"When he was off work, the MASKTOKEN pestered the waiter all the time.","When he was off work, the",waitress,"When he was off work, the MASKTOKEN pestered the waiter all the time.",4.4810075759887695,7.187891483306885
2,1,he,m,Match,0,"When he arrived, the MASKTOKEN recognized the woman at once.","When he arrived, the",chairman,"When he arrived, the MASKTOKEN recognized the woman at once.",11.740082740783691,13.27294635772705
2,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN recognized the woman at once.","When she arrived, the",chairman,"When she arrived, the MASKTOKEN recognized the woman at once.",12.890746116638184,13.616719245910645
2,1,she,f,Match,1,"When she arrived, the MASKTOKEN recognized the chairman at once.","When she arrived, the",woman,"When she arrived, the MASKTOKEN recognized the chairman at once.",3.0908308029174805,4.896197319030762
2,1,he,f,Mismatch,1,"When he arrived, the MASKTOKEN recognized the chairman at once.","When he arrived, the",woman,"When he arrived, the MASKTOKEN recognized the chairman at once.",8.430876731872559,7.7606964111328125
3,1,he,m,Match,0,"When he was fed up, the MASKTOKEN visited the girl very often.","When he was fed up, the",boy,"When he was fed up, the MASKTOKEN visited the girl very often.",2.8649401664733887,2.190805196762085
3,1,she,m,Mismatch,0,"When she was fed up, the MASKTOKEN visited the girl very often.","When she was fed up, the",boy,"When she was fed up, the MASKTOKEN visited the girl very often.",5.24473237991333,8.449834823608398
3,1,she,f,Match,0,"When she was fed up, the MASKTOKEN visited the boy very often.","When she was fed up, the",girl,"When she was fed up, the MASKTOKEN visited the boy very often.",3.087085723876953,2.381422758102417
3,1,he,f,Mismatch,0,"When he was fed up, the MASKTOKEN visited the boy very often.","When he was fed up, the",girl,"When he was fed up, the MASKTOKEN visited the boy very often.",5.603105068206787,10.84105396270752
4,1,he,m,Match,0,"When he was talking, the MASKTOKEN noticed the girl at the end of the street.","When he was talking, the",policeman,"When he was talking, the MASKTOKEN noticed the girl at the end of the street.",7.637392997741699,3.7165870666503906
4,1,she,m,Mismatch,0,"When she was talking, the MASKTOKEN noticed the girl at the end of the street.","When she was talking, the",policeman,"When she was talking, the MASKTOKEN noticed the girl at the end of the street.",7.680655479431152,4.777732849121094
4,1,she,f,Match,1,"When she was talking, the MASKTOKEN noticed the policeman at the end of the street.","When she was talking, the",girl,"When she was talking, the MASKTOKEN noticed the policeman at the end of the street.",1.3524612188339233,1.8858472108840942
4,1,he,f,Mismatch,1,"When he was talking, the MASKTOKEN noticed the policeman at the end of the street.","When he was talking, the",girl,"When he was talking, the MASKTOKEN noticed the policeman at the end of the street.",3.037287950515747,5.738738536834717
5,1,he,m,Match,0,"When he was nearby, the MASKTOKEN saw the lady in the park.","When he was nearby, the",boy,"When he was nearby, the MASKTOKEN saw the lady in the park.",3.224811553955078,2.225336790084839
5,1,she,m,Mismatch,0,"When she was nearby, the MASKTOKEN saw the lady in the park.","When she was nearby, the",boy,"When she was nearby, the MASKTOKEN saw the lady in the park.",4.2136125564575195,3.567683696746826
5,1,she,f,Match,1,"When she was nearby, the MASKTOKEN saw the boy in the park.","When she was nearby, the",lady,"When she was nearby, the MASKTOKEN saw the boy in the park.",6.171712398529053,6.87982177734375
5,1,he,f,Mismatch,1,"When he was nearby, the MASKTOKEN saw the boy in the park.","When he was nearby, the",lady,"When he was nearby, the MASKTOKEN saw the boy in the park.",7.374919414520264,10.7727632522583
6,1,he,m,Match,1,"When he was lost, the MASKTOKEN spotted the maid in the forest.","When he was lost, the",hunter,"When he was lost, the MASKTOKEN spotted the maid in the forest.",6.516735076904297,6.185068607330322
6,1,she,m,Mismatch,1,"When she was lost, the MASKTOKEN spotted the maid in the forest.","When she was lost, the",hunter,"When she was lost, the MASKTOKEN spotted the maid in the forest.",6.9655890464782715,6.602419853210449
6,1,she,f,Match,1,"When she was lost, the MASKTOKEN spotted the hunter in the forest.","When she was lost, the",maid,"When she was lost, the MASKTOKEN spotted the hunter in the forest.",8.629424095153809,10.007938385009766
6,1,he,f,Mismatch,1,"When he was lost, the MASKTOKEN spotted the hunter in the forest.","When he was lost, the",maid,"When he was lost, the MASKTOKEN spotted the hunter in the forest.",10.646980285644531,12.776288032531738
7,1,he,m,Match,1,"When he was bad-tempered, the MASKTOKEN ignored the lady all day.","When he was bad-tempered, the",man,"When he was bad-tempered, the MASKTOKEN ignored the lady all day.",1.7353465557098389,1.949994683265686
7,1,she,m,Mismatch,1,"When she was bad-tempered, the MASKTOKEN ignored the lady all day.","When she was bad-tempered, the",man,"When she was bad-tempered, the MASKTOKEN ignored the lady all day.",3.0450732707977295,3.1735105514526367
7,1,she,f,Match,1,"When she was bad-tempered, the MASKTOKEN ignored the man all day.","When she was bad-tempered, the",lady,"When she was bad-tempered, the MASKTOKEN ignored the man all day.",4.993234157562256,5.462159156799316
7,1,he,f,Mismatch,1,"When he was bad-tempered, the MASKTOKEN ignored the man all day.","When he was bad-tempered, the",lady,"When he was bad-tempered, the MASKTOKEN ignored the man all day.",8.602460861206055,7.797911167144775
8,1,he,m,Match,0,"When he was jealous, the MASKTOKEN angered the secretary more than ever.","When he was jealous, the",businessman,"When he was jealous, the MASKTOKEN angered the secretary more than ever.",11.779916763305664,12.934355735778809
8,1,she,m,Mismatch,0,"When she was jealous, the MASKTOKEN angered the secretary more than ever.","When she was jealous, the",businessman,"When she was jealous, the MASKTOKEN angered the secretary more than ever.",13.253745079040527,14.909518241882324
8,1,she,f,Match,1,"When she was jealous, the MASKTOKEN angered the businessman more than ever.","When she was jealous, the",secretary,"When she was jealous, the MASKTOKEN angered the businessman more than ever.",12.212010383605957,16.378198623657227
8,1,he,f,Mismatch,1,"When he was jealous, the MASKTOKEN angered the businessman more than ever.","When he was jealous, the",secretary,"When he was jealous, the MASKTOKEN angered the businessman more than ever.",11.170270919799805,14.88924789428711
9,1,he,m,Match,1,"When he was in residence, the MASKTOKEN annoyed the princess very much.","When he was in residence, the",lord,"When he was in residence, the MASKTOKEN annoyed the princess very much.",6.733182430267334,10.118757247924805
9,1,she,m,Mismatch,1,"When she was in residence, the MASKTOKEN annoyed the princess very much.","When she was in residence, the",lord,"When she was in residence, the MASKTOKEN annoyed the princess very much.",8.59065055847168,12.494819641113281
9,1,she,f,Match,0,"When she was in residence, the MASKTOKEN annoyed the lord very much.","When she was in residence, the",princess,"When she was in residence, the MASKTOKEN annoyed the lord very much.",7.917094707489014,5.843654155731201
9,1,he,f,Mismatch,0,"When he was in residence, the MASKTOKEN annoyed the lord very much.","When he was in residence, the",princess,"When he was in residence, the MASKTOKEN annoyed the lord very much.",10.490473747253418,9.654154777526855
10,1,he,m,Match,1,"When he was introduced, the MASKTOKEN shook the widow by the hand.","When he was introduced, the",sailor,"When he was introduced, the MASKTOKEN shook the widow by the hand.",9.332531929016113,10.59721565246582
10,1,she,m,Mismatch,1,"When she was introduced, the MASKTOKEN shook the widow by the hand.","When she was introduced, the",sailor,"When she was introduced, the MASKTOKEN shook the widow by the hand.",9.997278213500977,11.811025619506836
10,1,she,f,Match,1,"When she was introduced, the MASKTOKEN shook the sailor by the hand.","When she was introduced, the",widow,"When she was introduced, the MASKTOKEN shook the sailor by the hand.",8.858988761901855,9.112942695617676
10,1,he,f,Mismatch,1,"When he was introduced, the MASKTOKEN shook the sailor by the hand.","When he was introduced, the",widow,"When he was introduced, the MASKTOKEN shook the sailor by the hand.",12.640568733215332,14.009058952331543
11,1,he,m,Match,0,"When he arrived, the MASKTOKEN greeted the maid kindly.","When he arrived, the",master,"When he arrived, the MASKTOKEN greeted the maid kindly.",6.628427505493164,9.223723411560059
11,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN greeted the maid kindly.","When she arrived, the",master,"When she arrived, the MASKTOKEN greeted the maid kindly.",7.249087810516357,9.325008392333984
11,1,she,f,Match,1,"When she arrived, the MASKTOKEN greeted the master kindly.","When she arrived, the",maid,"When she arrived, the MASKTOKEN greeted the master kindly.",4.427478313446045,2.8817903995513916
11,1,he,f,Mismatch,1,"When he arrived, the MASKTOKEN greeted the master kindly.","When he arrived, the",maid,"When he arrived, the MASKTOKEN greeted the master kindly.",7.158395290374756,6.205120086669922
12,1,he,m,Match,0,"When he felt sad, the MASKTOKEN hugged the woman gently.","When he felt sad, the",man,"When he felt sad, the MASKTOKEN hugged the woman gently.",1.3673650026321411,1.0231415033340454
12,1,she,m,Mismatch,0,"When she felt sad, the MASKTOKEN hugged the woman gently.","When she felt sad, the",man,"When she felt sad, the MASKTOKEN hugged the woman gently.",3.839200258255005,2.3222830295562744
12,1,she,f,Match,0,"When she felt sad, the MASKTOKEN hugged the man gently.","When she felt sad, the",woman,"When she felt sad, the MASKTOKEN hugged the man gently.",1.201309323310852,1.341864824295044
12,1,he,f,Mismatch,0,"When he felt sad, the MASKTOKEN hugged the man gently.","When he felt sad, the",woman,"When he felt sad, the MASKTOKEN hugged the man gently.",3.6142354011535645,4.50691556930542
13,1,he,m,Match,1,"When he was present, the MASKTOKEN embarrassed the actress all the time.","When he was present, the",actor,"When he was present, the MASKTOKEN embarrassed the actress all the time.",2.6326584815979004,1.1243641376495361
13,1,she,m,Mismatch,1,"When she was present, the MASKTOKEN embarrassed the actress all the time.","When she was present, the",actor,"When she was present, the MASKTOKEN embarrassed the actress all the time.",4.683089733123779,2.884249448776245
13,1,she,f,Match,0,"When she was present, the MASKTOKEN embarrassed the actor all the time.","When she was present, the",actress,"When she was present, the MASKTOKEN embarrassed the actor all the time.",2.6246531009674072,1.534510850906372
13,1,he,f,Mismatch,0,"When he was present, the MASKTOKEN embarrassed the actor all the time.","When he was present, the",actress,"When he was present, the MASKTOKEN embarrassed the actor all the time.",5.655485153198242,5.6748738288879395
14,1,he,m,Match,0,"When he was depressed, the MASKTOKEN invited the lady for a drink.","When he was depressed, the",lord,"When he was depressed, the MASKTOKEN invited the lady for a drink.",3.4609150886535645,10.811124801635742
14,1,she,m,Mismatch,0,"When she was depressed, the MASKTOKEN invited the lady for a drink.","When she was depressed, the",lord,"When she was depressed, the MASKTOKEN invited the lady for a drink.",3.8738975524902344,9.91435718536377
14,1,she,f,Match,1,"When she was depressed, the MASKTOKEN invited the lord for a drink.","When she was depressed, the",lady,"When she was depressed, the MASKTOKEN invited the lord for a drink.",2.5055739879608154,5.248870372772217
14,1,he,f,Mismatch,1,"When he was depressed, the MASKTOKEN invited the lord for a drink.","When he was depressed, the",lady,"When he was depressed, the MASKTOKEN invited the lord for a drink.",4.577711582183838,11.16946029663086
15,1,he,m,Match,0,"When he was around, the MASKTOKEN helped the maid all the time.","When he was around, the",salesman,"When he was around, the MASKTOKEN helped the maid all the time.",12.270758628845215,7.9569854736328125
15,1,she,m,Mismatch,0,"When she was around, the MASKTOKEN helped the maid all the time.","When she was around, the",salesman,"When she was around, the MASKTOKEN helped the maid all the time.",13.10279369354248,9.983784675598145
15,1,she,f,Match,1,"When she was around, the MASKTOKEN helped the salesman all the time.","When she was around, the",maid,"When she was around, the MASKTOKEN helped the salesman all the time.",6.9708571434021,6.470320224761963
15,1,he,f,Mismatch,1,"When he was around, the MASKTOKEN helped the salesman all the time.","When he was around, the",maid,"When he was around, the MASKTOKEN helped the salesman all the time.",8.817402839660645,10.83729362487793
16,1,he,m,Match,0,"When he was near, the MASKTOKEN approached the waitress on the plane.","When he was near, the",congressman,"When he was near, the MASKTOKEN approached the waitress on the plane.",12.598526000976562,9.713236808776855
16,1,she,m,Mismatch,0,"When she was near, the MASKTOKEN approached the waitress on the plane.","When she was near, the",congressman,"When she was near, the MASKTOKEN approached the waitress on the plane.",12.957433700561523,10.165821075439453
16,1,she,f,Match,1,"When she was near, the MASKTOKEN approached the congressman on the plane.","When she was near, the",waitress,"When she was near, the MASKTOKEN approached the congressman on the plane.",7.905255317687988,9.185776710510254
16,1,he,f,Mismatch,1,"When he was near, the MASKTOKEN approached the congressman on the plane.","When he was near, the",waitress,"When he was near, the MASKTOKEN approached the congressman on the plane.",9.051648139953613,11.600271224975586
17,1,he,m,Match,0,"When he was in court, the MASKTOKEN trusted the lady most of all.","When he was in court, the",knight,"When he was in court, the MASKTOKEN trusted the lady most of all.",4.8081865310668945,8.602387428283691
17,1,she,m,Mismatch,0,"When she was in court, the MASKTOKEN trusted the lady most of all.","When she was in court, the",knight,"When she was in court, the MASKTOKEN trusted the lady most of all.",4.883496284484863,9.425535202026367
17,1,she,f,Match,1,"When she was in court, the MASKTOKEN trusted the knight most of all.","When she was in court, the",lady,"When she was in court, the MASKTOKEN trusted the knight most of all.",4.109865188598633,4.530589580535889
17,1,he,f,Mismatch,1,"When he was in court, the MASKTOKEN trusted the knight most of all.","When he was in court, the",lady,"When he was in court, the MASKTOKEN trusted the knight most of all.",8.292455673217773,8.37999439239502
18,1,he,m,Match,1,"When he was poorly, the MASKTOKEN depressed the actress very often.","When he was poorly, the",man,"When he was poorly, the MASKTOKEN depressed the actress very often.",7.008708477020264,5.635414123535156
18,1,she,m,Mismatch,1,"When she was poorly, the MASKTOKEN depressed the actress very often.","When she was poorly, the",man,"When she was poorly, the MASKTOKEN depressed the actress very often.",9.529152870178223,9.661311149597168
18,1,she,f,Match,0,"When she was poorly, the MASKTOKEN depressed the man very often.","When she was poorly, the",actress,"When she was poorly, the MASKTOKEN depressed the man very often.",10.84554386138916,8.562384605407715
18,1,he,f,Mismatch,0,"When he was poorly, the MASKTOKEN depressed the man very often.","When he was poorly, the",actress,"When he was poorly, the MASKTOKEN depressed the man very often.",14.871079444885254,11.213251113891602
19,1,he,m,Match,0,"When he arrived, the MASKTOKEN upset the lady with the story.","When he arrived, the",policeman,"When he arrived, the MASKTOKEN upset the lady with the story.",7.693177223205566,4.7470221519470215
19,1,she,m,Mismatch,0,"When she arrived, the MASKTOKEN upset the lady with the story.","When she arrived, the",policeman,"When she arrived, the MASKTOKEN upset the lady with the story.",7.689666748046875,5.068291187286377
19,1,she,f,Match,0,"When she arrived, the MASKTOKEN upset the policeman with the story.","When she arrived, the",lady,"When she arrived, the MASKTOKEN upset the policeman with the story.",6.6789703369140625,6.334200859069824
19,1,he,f,Mismatch,0,"When he arrived, the MASKTOKEN upset the policeman with the story.","When he arrived, the",lady,"When he arrived, the MASKTOKEN upset the policeman with the story.",7.967802047729492,8.63460636138916
20,1,he,m,Match,0,"When he was appointed, the MASKTOKEN bribed the secretary shortly afterwards.","When he was appointed, the",chairman,"When he was appointed, the MASKTOKEN bribed the secretary shortly afterwards.",7.6670098304748535,5.969494342803955
20,1,she,m,Mismatch,0,"When she was appointed, the MASKTOKEN bribed the secretary shortly afterwards.","When she was appointed, the",chairman,"When she was appointed, the MASKTOKEN bribed the secretary shortly afterwards.",8.607298851013184,6.575623035430908
20,1,she,f,Match,1,"When she was appointed, the MASKTOKEN bribed the chairman shortly afterwards.","When she was appointed, the",secretary,"When she was appointed, the MASKTOKEN bribed the chairman shortly afterwards.",4.883090972900391,6.22727108001709
20,1,he,f,Mismatch,1,"When he was appointed, the MASKTOKEN bribed the chairman shortly afterwards.","When he was appointed, the",secretary,"When he was appointed, the MASKTOKEN bribed the chairman shortly afterwards.",5.106808185577393,6.96131706237793
21,1,he,m,Match,1,"When he was fired, the MASKTOKEN blamed the woman for the mess.","When he was fired, the",man,"When he was fired, the MASKTOKEN blamed the woman for the mess.",3.243575096130371,3.694871425628662
21,1,she,m,Mismatch,1,"When she was fired, the MASKTOKEN blamed the woman for the mess.","When she was fired, the",man,"When she was fired, the MASKTOKEN blamed the woman for the mess.",4.919538974761963,5.185006618499756
21,1,she,f,Match,1,"When she was fired, the MASKTOKEN blamed the man for the mess.","When she was fired, the",woman,"When she was fired, the MASKTOKEN blamed the man for the mess.",1.4736164808273315,3.602234363555908
21,1,he,f,Mismatch,1,"When he was fired, the MASKTOKEN blamed the man for the mess.","When he was fired, the",woman,"When he was fired, the MASKTOKEN blamed the man for the mess.",4.764562129974365,7.185844898223877
22,1,he,m,Match,1,"When he was close, the MASKTOKEN recognized the girl on the path.","When he was close, the",boy,"When he was close, the MASKTOKEN recognized the girl on the path.",1.7850557565689087,1.736853837966919
22,1,she,m,Mismatch,1,"When she was close, the MASKTOKEN recognized the girl on the path.","When she was close, the",boy,"When she was close, the MASKTOKEN recognized the girl on the path.",2.7448890209198,3.1938273906707764
22,1,she,f,Match,1,"When she was close, the MASKTOKEN recognized the boy on the path.","When she was close, the",girl,"When she was close, the MASKTOKEN recognized the boy on the path.",1.3527697324752808,1.860379695892334
22,1,he,f,Mismatch,1,"When he was close, the MASKTOKEN recognized the boy on the path.","When he was close, the",girl,"When he was close, the MASKTOKEN recognized the boy on the path.",4.909341812133789,5.678455829620361
23,1,he,m,Match,0,"When he was retired, the MASKTOKEN visited the lady almost every day.","When he was retired, the",lord,"When he was retired, the MASKTOKEN visited the lady almost every day.",3.951491117477417,10.225797653198242
23,1,she,m,Mismatch,0,"When she was retired, the MASKTOKEN visited the lady almost every day.","When she was retired, the",lord,"When she was retired, the MASKTOKEN visited the lady almost every day.",4.637979984283447,10.333794593811035
23,1,she,f,Match,0,"When she was retired, the MASKTOKEN visited the lord almost every day.","When she was retired, the",lady,"When she was retired, the MASKTOKEN visited the lord almost every day.",2.299671173095703,2.892388343811035
23,1,he,f,Mismatch,0,"When he was retired, the MASKTOKEN visited the lord almost every day.","When he was retired, the",lady,"When he was retired, the MASKTOKEN visited the lord almost every day.",4.705193519592285,7.962669372558594
24,1,he,m,Match,1,"When he was abroad, the MASKTOKEN forgave the lady for all the troubles.","When he was abroad, the",lord,"When he was abroad, the MASKTOKEN forgave the lady for all the troubles.",2.994642972946167,6.095477104187012
24,1,she,m,Mismatch,1,"When she was abroad, the MASKTOKEN forgave the lady for all the troubles.","When she was abroad, the",lord,"When she was abroad, the MASKTOKEN forgave the lady for all the troubles.",3.6053810119628906,6.645359516143799
24,1,she,f,Match,1,"When she was abroad, the MASKTOKEN forgave the duke for all the troubles.","When she was abroad, the",lady,"When she was abroad, the MASKTOKEN forgave the duke for all the troubles.",6.166595935821533,4.847590446472168
24,1,he,f,Mismatch,1,"When he was abroad, the MASKTOKEN forgave the duke for all the troubles.","When he was abroad, the",lady,"When he was abroad, the MASKTOKEN forgave the duke for all the troubles.",9.029707908630371,8.468055725097656
25,1,he,m,Match,0,"When he was discovered, the MASKTOKEN blamed the mistress straight away.","When he was discovered, the",husband,"When he was discovered, the MASKTOKEN blamed the mistress straight away.",4.90672492980957,5.76875638961792
25,1,she,m,Mismatch,0,"When she was discovered, the MASKTOKEN blamed the mistress straight away.","When she was discovered, the",husband,"When she was discovered, the MASKTOKEN blamed the mistress straight away.",5.483652591705322,7.358459949493408
25,1,she,f,Match,0,"When she was discovered, the MASKTOKEN blamed the husband straight away.","When she was discovered, the",mistress,"When she was discovered, the MASKTOKEN blamed the husband straight away.",8.38180923461914,7.655067443847656
25,1,he,f,Mismatch,0,"When he was discovered, the MASKTOKEN blamed the husband straight away.","When he was discovered, the",mistress,"When he was discovered, the MASKTOKEN blamed the husband straight away.",8.558366775512695,8.21031665802002
26,1,he,m,Match,1,"When he was busy, the MASKTOKEN avoided the lady as much as possible.","When he was busy, the",man,"When he was busy, the MASKTOKEN avoided the lady as much as possible.",2.5067925453186035,1.7707593441009521
26,1,she,m,Mismatch,1,"When she was busy, the MASKTOKEN avoided the lady as much as possible.","When she was busy, the",man,"When she was busy, the MASKTOKEN avoided the lady as much as possible.",3.6998720169067383,2.8614697456359863
26,1,she,f,Match,1,"When she was busy, the MASKTOKEN avoided the man as much as possible.","When she was busy, the",lady,"When she was busy, the MASKTOKEN avoided the man as much as possible.",5.028345584869385,6.350584506988525
26,1,he,f,Mismatch,1,"When he was busy, the MASKTOKEN avoided the man as much as possible.","When he was busy, the",lady,"When he was busy, the MASKTOKEN avoided the man as much as possible.",7.987377643585205,10.95143985748291
27,1,he,m,Match,0,"When he was twenty-one, the MASKTOKEN married the bride in the cathedral.","When he was twenty-one, the",prince,"When he was twenty-one, the MASKTOKEN married the bride in the cathedral.",6.834346294403076,4.353494644165039
27,1,she,m,Mismatch,0,"When she was twenty-one, the MASKTOKEN married the bride in the cathedral.","When she was twenty-one, the",prince,"When she was twenty-one, the MASKTOKEN married the bride in the cathedral.",7.194515705108643,6.598237991333008
27,1,she,f,Match,0,"When she was twenty-one, the MASKTOKEN married the prince in the cathedral.","When she was twenty-one, the",bride,"When she was twenty-one, the MASKTOKEN married the prince in the cathedral.",4.755711555480957,7.422224998474121
27,1,he,f,Mismatch,0,"When he was twenty-one, the MASKTOKEN married the prince in the cathedral.","When he was twenty-one, the",bride,"When he was twenty-one, the MASKTOKEN married the prince in the cathedral.",4.863711833953857,10.2693452835083
28,1,he,m,Match,0,"When he was annoyed, the MASKTOKEN disliked the maid very much.","When he was annoyed, the",general,"When he was annoyed, the MASKTOKEN disliked the maid very much.",8.770820617675781,9.517266273498535
28,1,she,m,Mismatch,0,"When she was annoyed, the MASKTOKEN disliked the maid very much.","When she was annoyed, the",general,"When she was annoyed, the MASKTOKEN disliked the maid very much.",9.561568260192871,10.791411399841309
28,1,she,f,Match,1,"When she was annoyed, the MASKTOKEN disliked the general very much.","When she was annoyed, the",maid,"When she was annoyed, the MASKTOKEN disliked the general very much.",8.618426322937012,8.210535049438477
28,1,he,f,Mismatch,1,"When he was annoyed, the MASKTOKEN disliked the general very much.","When he was annoyed, the",maid,"When he was annoyed, the MASKTOKEN disliked the general very much.",13.32800579071045,12.995561599731445
29,1,he,m,Match,1,"When he was in church, the MASKTOKEN congratulated the sister about the charity work.","When he was in church, the",priest,"When he was in church, the MASKTOKEN congratulated the sister about the charity work.",5.044859886169434,2.0567235946655273
29,1,she,m,Mismatch,1,"When she was in church, the MASKTOKEN congratulated the sister about the charity work.","When she was in church, the",priest,"When she was in church, the MASKTOKEN congratulated the sister about the charity work.",3.6928670406341553,2.3772218227386475
29,1,she,f,Match,0,"When she was in church, the MASKTOKEN congratulated the priest about the charity work.","When she was in church, the",sister,"When she was in church, the MASKTOKEN congratulated the priest about the charity work.",7.743717670440674,9.432005882263184
29,1,he,f,Mismatch,0,"When he was in church, the MASKTOKEN congratulated the priest about the charity work.","When he was in church, the",sister,"When he was in church, the MASKTOKEN congratulated the priest about the charity work.",8.993102073669434,13.927223205566406
30,1,he,m,Match,0,"When he was banished, the MASKTOKEN missed the witch a great deal.","When he was banished, the",wizard,"When he was banished, the MASKTOKEN missed the witch a great deal.",5.720026016235352,7.917087554931641
30,1,she,m,Mismatch,0,"When she was banished, the MASKTOKEN missed the witch a great deal.","When she was banished, the",wizard,"When she was banished, the MASKTOKEN missed the witch a great deal.",6.947478294372559,10.601840019226074
30,1,she,f,Match,0,"When she was banished, the MASKTOKEN missed the wizard a great deal.","When she was banished, the",witch,"When she was banished, the MASKTOKEN missed the wizard a great deal.",5.147344589233398,8.568678855895996
30,1,he,f,Mismatch,0,"When he was banished, the MASKTOKEN missed the wizard a great deal.","When he was banished, the",witch,"When he was banished, the MASKTOKEN missed the wizard a great deal.",8.411192893981934,11.125235557556152
31,1,he,m,Match,0,"When he was angry, the MASKTOKEN ignored the lady all the time.","When he was angry, the",man,"When he was angry, the MASKTOKEN ignored the lady all the time.",1.3368325233459473,1.2986220121383667
31,1,she,m,Mismatch,0,"When she was angry, the MASKTOKEN ignored the lady all the time.","When she was angry, the",man,"When she was angry, the MASKTOKEN ignored the lady all the time.",2.68649959564209,2.4258828163146973
31,1,she,f,Match,1,"When she was angry, the MASKTOKEN ignored the man all the time.","When she was angry, the",lady,"When she was angry, the MASKTOKEN ignored the man all the time.",5.032608509063721,4.35216760635376
31,1,he,f,Mismatch,1,"When he was angry, the MASKTOKEN ignored the man all the time.","When he was angry, the",lady,"When he was angry, the MASKTOKEN ignored the man all the time.",9.59549617767334,7.261512756347656
32,1,he,m,Match,0,"When he was distraught, the MASKTOKEN visited the nun straight away.","When he was distraught, the",bishop,"When he was distraught, the MASKTOKEN visited the nun straight away.",3.2136728763580322,7.287708282470703
32,1,she,m,Mismatch,0,"When she was distraught, the MASKTOKEN visited the nun straight away.","When she was distraught, the",bishop,"When she was distraught, the MASKTOKEN visited the nun straight away.",3.00212025642395,7.734447002410889
32,1,she,f,Match,0,"When she was distraught, the MASKTOKEN visited the bishop straight away.","When she was distraught, the",nun,"When she was distraught, the MASKTOKEN visited the bishop straight away.",6.044012546539307,5.046983242034912
32,1,he,f,Mismatch,0,"When he was distraught, the MASKTOKEN visited the bishop straight away.","When he was distraught, the",nun,"When he was distraught, the MASKTOKEN visited the bishop straight away.",8.154191970825195,7.627655982971191
